stage,axial,mesenchyme,neural,paraxial.mesoderm,periderm,pgc
  3-4,13.05,0,0,0,25.43,0
 10-12,0,0,3.1,7.7,0,5.47
 48-58,0,0.7,0,0,0,0
 72-82,0,1.28,0,0,0,0
