stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.85,0,6.45,0,0,0,0,5.26,0,0,0,0,0,0,83.61,0,0,0,9.93,0,0,0,0,0,0,0
 10-12,0,0,0,14.87,0,0,0,0,11.3,0,0,0,0,0,0,37.93,13.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,1.29,0,1.15,4.47,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0.79,1.09,1.92,0,0
 36-46,0,0,3.89,0,0,0,0,0,0,0,0,0.68,0,0,0,4.56,0,2.12,0,0,0,0,0,0,1.12,0,0
 48-58,0,0,0,3.19,0,0,1.26,0,0,0,0,1.7,0,0.5,1,2.36,0.56,0,0,0,0,0,0,0,1.86,0,0
 60-70,0,0,0,19.83,0,1.13,0,0,0,0,0,0,0,5.32,0,4.22,0,0,0,0,0.88,0,0,0,0,0,0
 72-82,0,0,0,0.68,0,0,0,0,0,0,1,3.93,1.11,0,0,5.63,0,0,0.79,0,0.58,0,0,0,0,0,0
 84-94,0,0,0,13.72,1.13,0,0,0,0,2.63,0,0,0,0,0,0.99,0,0,0.65,0,0,0,0,0,0,0.74,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0.6,0,0,0,4.78,0,0,0,0,1.41,0,0,0,0,0.67,0
108-118,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0.52,2.19,0,0,0.89,0,0,0,1.54,0,0,0,5.87
120,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,2.73,0
