stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.9,1665.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.05,0,0,0,0,0,0,0,0,0,0
  5-6,137.58,1528.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,0,0,0,47.85,29.38,0,0,0,0,0,0,0,0,0,0
  7-9,55.77,37.96,0,65.52,0,0,0,183.74,0,0,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0,1241.75,23.96,0,0,537.52,0,11.41,0,0,0,0,0,0,0,0,0
 10-12,0,46.49,0,48.91,0,0,0,130.02,0,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,1202.61,15.82,0,0,315.73,0,16.11,0,52.65,0,0,0,0,0,0,0
 14-21,0,0,1.24,3.17,70.53,10.77,0,42.9,0,0,0,10.69,0.82,0,0,0,0.8,6.7,1.84,0,35.99,0,0,30.55,580,12.28,5.8,1.73,12.32,20.61,0,49.68,0.96,28.11,115.27,0,0,3.47,0,0
 24-34,0,0,0,1.35,21.32,5.85,0,219.47,0,0,0.74,15.73,0,0,2.55,2.78,0.86,3.56,1.58,1.42,114.69,0.74,0,37.58,1534.45,1.72,5.05,14.6,0,19.68,0,0,0.81,4.62,296.77,0,0,8.19,0,2.31
 36-46,0,0,0,0,2.68,3.58,0,466.83,0,1.12,0,49.27,0.72,0,0.87,0,0,1.94,0,2.4,58.16,0,0.7,9.69,892.14,0,5.86,0.72,0,28.6,0,0,0,0,155.26,0,0,2.19,0,0
 48-58,0,0,0,0,13.88,10.42,0,543.22,0,0.4,3.66,23.84,0,0,0,7.3,0,0.83,4.54,0,70.41,0,12.58,14.32,475.92,3.3,1.8,5.02,0,1.67,0,0,0,0,43.09,0,0,7.57,0,0
 60-70,0,0,0,0,30.74,0,0,528.54,0,0,0,45.12,0.65,0,0,2.21,5.42,0,2.92,1.82,99.43,0,5.23,8.79,330.08,0,7.45,2.07,0,7.13,0,0,0,0,12.71,0,0,6.2,0,2.83
 72-82,0,0,0,0,7.99,0,0,119.16,1.11,0,1.73,15.04,0.53,0,0,1.55,0,0,0.73,0,56.08,0,0,12.84,125.16,0,0.75,1.22,0,1.6,0,0,0,0,0.79,1.26,0.5,1.09,0,0
 84-94,0,0,0,2.02,8.12,2.61,0,104.98,0,0,1.78,29.3,2.82,0,0,6.69,1.82,0.75,0.63,0,77.55,0,8.24,8.76,99.2,0,2.64,2.97,0,0.63,0,0,0,0,5.21,1.17,0,12.68,2.24,0
 96-106,0,0,0,0,3.63,0,0,58.44,0,0,0,14.29,0.66,0,0,0.91,1.06,0.72,0,0,13.71,0,0.68,1.63,52.74,0,4.29,2.43,0,2.49,0,0,0,0,3.27,0,0,2.54,0,0
108-118,0,0,0,0,3.68,2.16,0.5,88.32,0,0,0,18.94,2.58,0,0,6.41,0,0,0.6,0.8,19.07,0,2.59,4.65,112.6,0,0,0.89,0,0,0,0,0.87,0,0.42,0,0,6.78,0,0
120,0,0,0,0,12.32,7.24,0,199.22,0,0,0,31.18,1.86,0,0,6.64,4.96,1.18,1.84,1.5,51.17,0,2.08,3.98,210.59,2.45,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0
