stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,3.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,9.48,0,0,0,0,1.67,0,0,0,0,0
 24-34,0,0,3.84,0,0,0,0,0,0,1.36,0,0,0,0,0.72,0,0,0,0,1.03,0,1.3,10.16,0,0,8.03,0,1.54,0,0,0.74,0,0.61
 36-46,0,0,4.91,0,0,4.18,0,0,0,1.53,0,0,0,0,0,0,0,0,7.89,5.22,0.6,0,25.11,2.2,4.08,11.68,0,9.34,0,0,6.01,0,0
 48-58,0,0.44,3.13,0,0,13.07,0,0,0,3.45,0,0,0,0,0.46,0,0.43,0,4.19,0.39,0,2.28,31.09,5.58,0,3.09,1.03,8.31,0,0,0,0,0
 60-70,0,0,0,0,0,26.77,1.45,0,0,15.66,0,0,0,0,0,0.67,0,0,0,23.1,0,8.11,67.49,3.11,0,3.72,1.41,8.5,0,1.27,2.12,0,0
 72-82,0,0.62,1.14,3.8,0,58.22,1.62,0,0,12.87,0.66,0.55,1.23,2.64,0,0,1.49,0.78,3.96,11.44,0,2.94,64.64,10.26,0,0.53,0,4.1,5.27,1.57,2.84,1.93,0
 84-94,0,0,6.67,4.25,1.39,53.19,1.27,2.11,0,6.8,4.99,0,0,0.55,1.9,0.71,0.92,0,14.97,9.67,0,0,41.92,0,0,13.81,0.78,10.27,0,0,0,0.68,0
 96-106,0,1.04,11.96,5.21,0,44.51,1.55,1.89,0,10.16,9.57,0,2.51,3.13,0.99,0.58,0.57,0,0.67,20.33,0,3.68,43.48,8.08,0,16.24,2.2,1.58,0.82,0,7.68,0,3.81
108-118,0,0,1.07,1.27,0.59,29.78,3.18,0,0.73,12.26,5.79,0,0.43,2.09,1.1,0,1.17,0,0.58,24.15,0,4.31,56.76,2.92,0.66,6.26,0.94,2.91,1.92,0,1.37,0,1.14
120,0,0,16.92,0,1.71,52.58,0,0,0,17.12,2.37,0,0,11.85,0,0,4.23,0,0,7.24,0,1.56,87.28,0,3.65,3.78,0,11.49,0,0,0,1.05,0
