stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
  3-4,20.3,0,0,0,0,0,0,0,0,0
  5-6,6.64,0,0,0,0,0,0,0,0,0
  7-9,8.22,0,3.56,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.64,0,0,0,0
 14-21,0,0,2.34,0,0,1.07,0,0,0,0
 24-34,0,0,0,0,0.67,10.72,1.47,0.68,0,0
 36-46,0,0,2.79,0,0.75,14.37,0,0,0,0.89
 48-58,0,0,0.54,0.92,0,11.79,0,0,0,0.74
 60-70,0,3.53,9.33,0,3.13,18.57,1.31,0.65,0,0
 72-82,0,0,1.74,0,1.3,6.79,0,0,0,0
 84-94,0,0,0,0,2.15,0,0,0,0,0
 96-106,0,0,0,0,0,0.85,0,0,0.63,0
108-118,0,0,1.56,0,0,1.78,0,0,0,0
120,0,0,1.09,0,0,0,0,0,0,0
