stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,9.68,1.72,0,0,0,0,0,0,1.02,25.16,0,0.85,0,1.66,0.98,2.42,4.55,0,0,0
 24-34,0,0.61,0,0,0,1.75,0.7,0,0,22.65,0,0,2.34,3.51,0,0.67,5.14,0,1.51,0
 36-46,3.09,3.27,0,0,0,3.31,0,0,0,11.29,0,0,0,0,0,0,11.4,0,0,0
 48-58,0,8.33,0,0.49,2.33,5.78,0,0,0.48,27.95,0,0,0.61,0.56,0,0,9.69,0,1.1,0
 60-70,0,8.9,0,0,2.36,6.11,0,0,0,10.15,0,0,0,0,0,0,1.41,0,0,0
 72-82,0,5.57,0,0,2.09,10.14,0,0,0,12.31,1.23,0,0,0,0,0,1.19,0,0,0
 84-94,0,8.06,0,0,1.19,0.71,0,2.5,0,4.95,0,0,0,1.31,0,0,1.54,0,0,0
 96-106,1.06,0,0,0,1.63,14.33,0,0,1.1,1.09,0,0,0,0,0,0,0,0,0,0.75
108-118,0.44,2.25,0.46,0,0.67,0,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.48,1.52,0,0,0,18.08,0,0,0,3.6,0,0,0,2.09,0,0
