stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,0,134.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,131.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0
  7-9,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,34.47,0,0,0,21.58,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,65.85,4.22,0,0,11.2,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,2.25,1.73
 24-34,0,0,0.84,0,0.67,0,0,0,0,0,0,0,0,0,9.11,0,1.48,0,0,0,4.73,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,6.87,0,4.96,0,0,0.64,0,0.92
 48-58,0,0,0,0,0,0,0.55,0.45,0,0,0,0,0.49,1.38,5.45,0,4.2,0,0,5.82,0,0.61
 60-70,0,0,0,0,1.04,0,6.56,3.06,0.81,0,0,0,1.09,0,3.54,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.29,0.76,0,0,1.15,0.91,0.71,9.62,0,0.88,0,0,0,0,4.71
 84-94,0,0,0,0,0,0,0.83,0,1.28,0.62,0,6.2,0,1.51,6.75,0,0,0.6,0,0,0,0
 96-106,0,0,0,0.94,0,0,0,0,0,0,0,11.79,0,0,5.09,0,1.63,0,0,0,0,0
108-118,0,0,0,0,0.42,1.7,0,0,0,0,0,15.59,0,4.77,14.47,0,0,0.69,0,0,0,0
120,0,0,0,0,1.64,2.68,0,0,0,0,0,21.69,0,0,0,0,5,0,0,0,0,0
