stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,pericytes,spinal_cord,vasculature
 14-21,1.6,0,0,0,0.97,0,0,0,0,0,0,0,0.81,0
 24-34,1.18,0.76,0,0,0,0,0,2.25,0,1.42,1.09,0,1.57,0
 36-46,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0
 48-58,0,0,2.6,0,1.31,0,0,1.33,0,3.44,0,0,0.6,0
 60-70,0,1.41,0,0,0,0,0,0,0,1.02,0,0,0,0
 72-82,0.59,3.91,0,0.52,0,0,0,1.39,0,2.3,0,0,0,0
 84-94,0,0.83,0,0,0,0,0.56,0,0,0,0,2.48,0,1.96
 96-106,0.6,0,0.58,0,0.94,0,0.86,1.41,0,5.9,0,0,0,0.93
108-118,0,0.88,0,0,0,0,0,3.6,0.91,0,0,1.55,0,0
120,1.33,0,0,0,0,16.35,0,1.37,0,1.77,0,0,0,0
