stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,78.9,905.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0
  5-6,82.19,1671.44,0,0,0,0,0,0,59.48,0,0,0,0,0,0,64.56,22.34,0,0,30.62,17.75,0,0,0,0,0,0
  7-9,13.25,33.55,11.14,0,63.84,0,0,0,22.74,0,0,0,0,0,0,631.65,19.16,0,0,180.45,0,0,0,0,0,0,0
 10-12,0,9.62,6.23,0,29.32,0,0,0,0,0,0,0,0,0,0,402.6,33.06,0,0,112.42,0,0,38.81,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,1.02,0,1.22,2.76,0,0.92,1.04,0,0
 24-34,0,0,0,0.86,11.16,0,0,0,0,0,0,0,3.97,0,0.64,83.23,0,1.04,1.11,0,0,0,0,0,6.03,0,0
 36-46,0,0,0,3.01,8.39,0,6.39,0,0,0,0,0,6.39,0,0,47.63,0,0,1.19,0,1.21,0,0,0,10.1,0,0
 48-58,0,0,0,8.67,9.14,0,3.62,0,0,0,0,0,1.07,0,0.4,34.37,0,0,0,0,0,0,0,0,1.25,0,1.27
 60-70,0,0,0,5.1,21.45,0,9.33,0,0,0,0,4.17,16.37,5.61,7.28,23.32,0,0,0,0,0,0,0,0,0,0,1.1
 72-82,0,0,0,3.77,5.49,0,4.93,1.62,0,0,0,0,3.02,1.71,4.28,10.18,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.83,1.91,0,0.6,0,0,0,1.13,0,1.51,0,0,22.9,0,0.8,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,2.88,0,0,0,0,0,0
108-118,0,0,0,0,1.36,0.72,0.63,0,0,0.63,0,0,1.01,0,0,0.52,0,0,1.79,0,0,0,0,0,0,0.68,2.07
120,0,0,0,0,2.6,0,8.33,0,0,0,0,0,2.95,0,4.72,7.69,0,0,0,0,0,0,0,0,0,0,2.37
