stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  5-6,11.49,87.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0
  7-9,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,4.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27,12.97,0,0,20.93,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.26,1.21,0,0,0,0,0.95,1.58,8.8,0,0,0,0,0,4.97,0,0
 24-34,0,0,2.09,0,0,0,0,0,1.73,0,0,0,0,0,2.29,1.2,45.58,0.7,0.83,0,0,0,4.03,0,0
 36-46,0,0,3.7,0,6.63,0,0,2.42,2.82,0,0,0.69,0,0,10.37,0,40.52,0,0,0,0,5.13,16.17,0,0
 48-58,0,0,0,0,15.11,0,0,1.07,4.14,0,0,0,0.41,0,0,1.04,44.51,0,0,0,0,0,5.82,0,0
 60-70,0,0,1.38,0,8.67,0,0,0,0,0,0,0,0,0,2.97,0,16.23,0,0,0,0,2.55,8.88,0,0
 72-82,0,0,0,0,13.22,6.88,1.99,0,1.68,0.56,0,0,0.79,0,1.65,0,62.78,1.67,0,0,0,0,1.15,1.33,0.59
 84-94,0,0,1.18,0,10.72,1.15,0,0,5.69,0,0.99,0,0,0,2.43,1.29,36.79,0,0,0,0,2.66,0,0,0
 96-106,0,0,4.43,0,3.06,0,0,0,13.02,0,0,0,0.59,2.28,1.82,0,22.13,0,0,0,0,6.85,0,2.52,0
108-118,0,0,0,0,4.38,0,0,0.53,0.77,0.47,0,0,0,0,7.09,0,24.42,0,0,3.72,0,4.39,0,2.09,0
120,0,0,0,6.44,0,0,0,0,16.74,0,0,0,0,0,0,0,61.86,0,0,0,0,1.94,0,3.31,0
