stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.87,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,1.76,0,0
 36-46,0,2.53,0,0,0,0,0,0,0,0,4.83,5.08,1.37,0,0.96,0,0
 48-58,0,0,0.45,0.73,0,0,0,0,0.44,0,0,2.63,0,0,0,0,5.18
 60-70,0,0,0,0,0,2.82,2.64,0,0.71,0,0,0,0,0,1.06,0,5.08
 72-82,0,0.98,0,0,0.56,0.55,3,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.79,0,0.73,8.78,0,0,0,0.94,7.16,0,0,0,0,0
 96-106,0,0,0,0,1.31,2.76,7.37,0,0,0,0,3.03,0,0,1.75,0,0
108-118,0,1.7,0.43,0,0,3.36,23.36,0,0,0.77,0.57,0.77,0.44,0,0,0,0
120,0,0,0,0,0,0,20.17,1.15,2.05,0,0,0,0,0,0,2.15,0
