stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,725.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.15,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,793.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.35,0,0,0,39.27,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,264.72,0,0,0,85.48,0,5.78,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,19.72,0,5.97,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.59,5.8,0,0,38.7,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,34.3,4.46,0,13.72,0,0,3.98,1.19,2.13,0,0,0,0,0,0,0,15.94,0,0,10.08,98.14,0,0,4.73,0.84,0,3.32,0,9.78,0.85,10.44,24.91,0,0,1.01,0,0
 24-34,0,0,0,2.03,13.7,0,0,19.67,5.35,0.86,4.05,1.3,0,0,0.9,1.29,0.85,0,0,0.69,19.65,0,0,2.63,137.55,0,1.34,0.68,0,0,29.57,0,2.32,2.3,0,15.39,0,0,6.21,0,0.69
 36-46,0,0,0,0,6.46,0,0,10.59,0,8.19,6.58,0.58,0,0,1.52,0.58,0,1.61,2.82,0,18.21,0,1.42,3.38,112.72,0,0,0.76,0,0,11.57,0,0,0.7,0,11.66,0,0.85,6.45,0,0
 48-58,0,0,0,0,12.48,0.45,0,14.41,11.4,1.26,6.89,5.01,0,0.83,2.19,0.51,0,0,1.48,1.07,24.76,0.41,0.55,5.95,74.59,0,3.09,1.15,0,0,15.54,0,0,0,0,16.95,0,0,4.28,0,8.44
 60-70,0,0,0.86,0,4.48,0,0,31.27,2.51,0,14.95,8.92,0,0.87,2.08,5.07,0,0,0,0,31.05,0,1.04,8.68,98.21,0,1.43,0,0,0.84,22.19,0,0,0,0,18.46,0,0,11.55,0.71,6.81
 72-82,0,0,0,0,8.03,0.74,0,37.47,0,4.81,36.04,4.65,0,0.9,2.52,0.96,0,1.05,5.38,9,48.29,2.36,2.32,5.26,116.96,0,1.27,2.01,0,1.08,5.7,0,0,1,0,16.18,1.06,0,2.97,0.71,6.27
 84-94,0,0,1.14,0,14.39,0.69,0,49.13,2.33,2.36,26.65,16.95,0,2.2,5.33,2.07,1.25,0,0.61,0.56,64.18,0.78,1.38,7.38,115.64,0.62,0,2.02,0,0,44.76,0,0,2.35,0,5.76,0,0,4.61,1.75,2.6
 96-106,0,0,0.99,0,20.92,6.25,0,31.24,0.98,0,26.07,10.09,0,1.61,7.11,3.58,0,1.71,3.93,0.77,54.08,0,0,5.1,108.6,0.62,3.63,7.63,0,3.68,20.07,0,0,0.73,0,23.08,3.24,0.58,14.18,2.83,2.89
108-118,0,0,0,0.49,34.13,0.92,7.21,22.24,7.43,6.68,44.12,13.36,0,0.99,4.88,4.28,5.98,2.19,10.97,1.77,79.31,2.11,1.92,11.5,122.59,0.5,1.88,10.94,0,1.1,26.19,0,0,0,0,8.89,3.65,3.76,28.06,0,0.51
120,0,0,0,0,32.35,1.13,0,25.06,4.92,0,77.29,14.47,0,0,0,0,2.12,7.1,8.24,0,80.7,0,0,18.55,131.87,0,2,1.05,0,0,12.16,0,0,1.75,0,17.7,1.27,0,20.8,0,0
