stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.08,1494.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07,0,0,0,0,0,0,0,0,0
  5-6,34.18,1229.02,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,83.24,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.96,38.66,0,10.61,0,0,0,43.85,0,0,0,0,0,27.47,0,0,0,0,0,0,0,0,0,0,0,481.88,17.54,0,0,106.48,0,0,0,12.83,0,0,0,0,0,0,0
 10-12,0,5.04,0,23.05,0,0,0,49.19,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,263.58,8.71,0,0,91.94,0,0,0,28.45,0,5.74,0,0,0,0,0
 14-21,0,0,1.32,1.09,2.61,0.9,0,7.8,0,0,0,3.5,1.19,0,0,0,0.8,0,0,0,1.01,14.62,0,0,2.85,84.92,0,0,0,4.58,0,0,7.77,0,1.23,12.34,38.11,0,0,0,0
 24-34,0,0,0,1.81,2.01,0,0,15.53,0,0,0,5.15,0,0,0,0,0,0,0,0,0,16.77,0,0,8.51,159.54,0,1.4,0.76,0,0,4.11,0,0,0,4.15,50.7,0,6.05,0,1.18
 36-46,0,0,0,0.63,0,0,0,8.97,0.68,0,3.16,6.88,0,0,0,5.86,0,0,0,1.07,0,12.23,0,0,1.59,151.08,0.57,0,0,0,0,5.3,0,0,0,0,32.72,0.62,2.39,0,0
 48-58,0,0,0.42,0,0.41,0,0,30.59,0,0.39,1.08,13.98,0,0,0,0.76,0,0,0.89,0,0.51,15.74,0,3.78,2.02,165.36,0,0,0.41,0,0,2.83,0,0,0,0,30.29,0,0.61,0,11.33
 60-70,0,0,0,0,5.42,0,0,42.22,0,0,0.85,19.17,0,0,0,0,0,0,3.85,0,0,30.2,0.67,0,6.74,120.93,0,0,0,0,0,3.99,0,0,0,0,30.77,0,0,0,0
 72-82,0,0,0,0,3.76,0,0,34.4,0,0,0,16.71,0,0.52,0,0,0,0,0,0,0,31.38,0,2.24,0.73,80.16,0,0,1.5,0,0,2.73,0,0.64,0,0,22.19,1.49,1.21,0.71,0
 84-94,0,0,0,0,6.07,0,0,31.18,0,0.64,0,19.2,0.73,0,0,8.96,0.69,0.55,0,0,0.67,29.68,0.86,0.95,4.54,79.9,0,0,0.88,0,0,0,0,0.74,0,0,6.69,0,0,2.73,0
 96-106,0,0,1.07,0,2.92,0,0,26.99,0,0,0,13.19,0.93,0,1.16,0,0,4.84,2.56,0,0.68,19.07,0,4.04,2.39,83.35,1.38,0,2.43,0,1.94,8.9,0,0,0,0,10.42,1.51,0.67,0.87,1.41
108-118,0,0,1,0,6.3,0,0.82,33.32,0,1.22,2.97,22.31,1.82,0,4.56,0,1.57,0,0,5.4,0,29.48,0,0,0.7,94.72,0.55,1.25,0,0,1.8,3.13,0,0,0,0,1.94,1.46,7.11,0,1.74
120,0,0,0,0,6.12,0,0,27.47,0,1.05,0,32.58,2.51,0,5.85,1.14,0,0,0,0,0,67.08,3.05,0,2,74.91,0,0,4.72,0,5.9,3.54,0,0,0,0,9.81,2.93,47.76,0,0
