stage,axial,blastomeres,eye,fast.muscle,muscle,neural,somites
  3-4,18.39,187.41,0,0,0,0,0
  5-6,13.97,171.09,0,0,0,0,0
  7-9,0,4.3,6.87,0,0,98.95,0
 10-12,0,0,8.14,0,0,0,0
 14-21,0,0,0,0,0,0,7.33
 60-70,0,0,0,1.28,0.72,0,0
 96-106,0,0,0,1.41,0,0,0
