stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,411.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,228.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0
  7-9,9.43,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,13.64,0,0,0,14.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,9.9,0,1.75,0,1.83,0.81,0,0.96,0,0,0,13.36,0,2.04,19.04,2.51,0,0,0,0,0,1.13,0,0,20.6,0,10.41,0,0
 24-34,0,0,0,3.25,0,0.6,1.99,0.85,0,0,4.25,0.63,0,0,81.3,0,12.73,81.55,0.68,0,0.88,0,0,0,0,0.8,1.87,64.81,0,81.2,0,0
 36-46,0,0.74,1.24,0,0,5.04,1.54,1.69,0,0,0.88,0,0,0,40.44,0.89,9,117.79,0,0,0,0,0,0,0,0.59,0,77.33,0,51.5,0,0
 48-58,0,0,0,0,0,5.29,1.01,1.63,0,0,3.19,0,0,0,52.99,0.52,4.2,50.68,0,0,0,0,0,0,0,3.99,0,55.41,0.37,37,0,1.78
 60-70,0,0,0,0,0,2.98,2.43,0,0,0,0,4.57,0,0,73.89,0.81,5.65,73.61,0,0,0.91,0,6.85,0,0,1.5,0,37.82,0,22.94,0,0
 72-82,0,0.5,2.05,0,0,9.67,1.98,3.45,0.77,0,0.79,0,0,0,102.01,13.91,3.21,107.9,0,0,0,0,1.78,0,0,2.21,0,15.23,1.92,91.54,3.05,0
 84-94,0,0,0,0,0,18.87,1.23,5.08,0.69,0,0,0,0,0,65.68,0,8.31,70.61,0,0,0,0,0,0,0,3.76,0,17.91,0,91.6,0,0
 96-106,0,0.61,1.03,0,0,9.17,2.53,6.41,0.83,0,0.58,0,7.43,0,44.85,0,4.78,73.73,0,0,0,0,1.37,2.78,0,1.83,0,22.39,4.01,37.49,0.81,0
108-118,0,0,0.9,0,1.13,6.72,3.17,8.01,2.57,0,0,0,0,7.28,83.08,5.57,3.94,80.82,0,0,0,0,10.32,0,0,0,0,6.12,2.67,59.56,0,0
120,0,0,1.71,0,0,0,1.6,0,0,0,0,0,0,0,45.17,0,0,93.75,0,1.45,7.82,0,0,0,0,0,0,16.26,0,47.2,7.27,0
