stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,0,0,1.17,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.84,10.43,0,0,0,0,0,0,0,0,1.03,0.84,0,0,0,0,0
 24-34,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,2.98,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0
 36-46,0,0,0.84,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,2.33,0,0,1.1,3.42,0,0,0,0,0,0,0.58,0,0,1.29,0,0,0,0,0
 48-58,0,0,0.54,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.51,1.86,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,28.08,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.5,0,2.28,1.51,383.84,8.02,0,0,0,1.23,0,0,0.52,0,0,2.18,0,7.9,0,0,0,35.35,0,0,0,0,0,0,0,0,0,4.4,0,0,0.89,0,0
 84-94,0,0,0.56,1.95,540.22,17.72,0,0,0,0.66,0,0,0,0,0,0.6,0,3.88,0,0.55,0,60.78,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0
 96-106,0,0,10.75,5.93,2420.63,84.18,0.89,7.08,17.56,9.71,0.99,3.92,3.17,0.76,2.35,10.05,0,31.52,0,8.67,4.14,247.59,0,3.81,1.71,0,2.93,8.14,0,0,0,5.47,0,4.91,9.83,3.92,0
108-118,1.5,0,9.99,3.56,7942.89,208.25,2.58,0.82,32.72,4.8,0,2.24,2.33,10.98,0.41,8.77,0,55.35,0,0,6.59,343.28,1.14,5.39,3.08,0,0,44.25,0,0,0,9.7,0.45,0,8.91,0,13.06
120,0,0,14.54,26.12,3035.4,165.03,1.12,16.89,40.89,4.45,0,10.15,0,1.18,2.13,14.14,0,31.05,1.49,10,5.12,484.49,0,0,14.73,0,0,13.29,24.27,0,0,0,0,0,0,0,0
