stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,61.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,5.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,1.27,0,0,0,0,1.06,0,0.84,0,0,0,0
 24-34,0,0,3.51,0,0,0,0,0,1.18,0,0,0,0,0,0,1.65,15.14,5.33,0,0,0,0,0,0,7.87,0,0,0
 36-46,0,0,4.91,0,0.68,2.74,0,0,0,0,0,0,0,1.7,0,0,61.43,5.85,1.2,0,0,0,0,0,19.68,0,0.57,0
 48-58,0,0,4.57,0,19,0,1.14,0,0.54,0,0,0,0,6.15,0,0.62,72.45,2.75,0,0,0,0,0.53,0,22.34,0,3.58,0
 60-70,0,0,12.62,0,167.37,0,8.19,0.62,0.95,0,0,0,0,5.98,0,0,203.63,8.48,0.62,0,0.87,0,0,0,38.61,0,0,1.25
 72-82,0,0,9.59,0,412.22,0.56,8.19,1.74,0,0,0,0,0,6.26,0,0,144.14,14.67,0,0,0,0,0,0,26.17,0,1.31,0.51
 84-94,0,0,14.46,0,464.05,1.13,8.58,0,0,0,0.67,1.91,0,6.83,0,0,151.24,7.26,0,0,0,0,0,0,51.09,1.03,0,1.26
 96-106,0,1.37,1.36,3.47,552.69,0.64,10.11,0.68,0.71,0,0,0,0,5.81,0.76,0,147.68,11.91,0.83,0,0,0,0,0,19.7,0,2.97,0
108-118,0,0,12.88,2.62,462.64,1.7,9.41,1.73,1.33,0,1.62,0,0.97,5.62,0,0,235.06,9.07,0,0,0,0,1.48,0,10.33,0,7.8,0.66
120,0,0,7.2,0,178.81,0,4.45,0,0,4.1,0,0,0,9.45,0,0,314.96,31.55,0,0,0,0,0,0,21.39,0,4.27,0
