stage,eye,mesenchyme,neural,periderm,spinal_cord
 14-21,0,0,0.93,0,0
 24-34,0,0,1.94,0.75,0.65
 48-58,1.21,0,0.39,0,0
 60-70,5.99,0,0.87,0,0
 72-82,0,0.84,0,0,0
