stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,23.7,0,3.3,0,0,0,1.07,1.28,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0
 24-34,0,0,0,0,1.41,0.61,0,3.34,0,0,0,0,2.15,0,0,0,0,0,0,20.89,0,2.32,0,0,3.31,22.49,0,0,0,0,0,0,0,3.09,0,15.57,0,0,3.49,0,0
 36-46,0,0,0,0,0.6,0,0,2.92,0,0,0,1.35,131.84,0,4.26,0,0,0,0,105.34,0,4.38,0,3.45,3.98,14.59,0,0,0,0,23.19,0,1.33,0,0,0,0,0,2.68,0,0
 48-58,1.15,0,0,0,0,1.18,0,29.49,0,3.2,0.64,1.72,724.63,0,3.49,0,0.37,0,0,76.28,0,3.98,0.52,0,0,85.36,0,0,1.15,0,7.38,0,0,0,0,13.11,0,0,0,0,2.18
 60-70,0,0,12.02,0,6.22,2.31,0,99.28,0,0,6.15,18.03,1971.92,0,0.79,6.31,0,2.82,0,360.59,8.22,40.28,0,0.6,4.59,249.76,0,1.98,1.01,7.62,19.15,0,3.74,0,0,22.49,0,0,6.26,0,14.15
 72-82,0,0,63.19,6.14,18.39,19.71,0,327.24,2.11,4.66,15.97,36.61,4640.49,1.02,4.13,11.48,2.93,9.67,4.23,138.16,1.45,159.34,9.91,12.21,9.59,1189.62,0.57,3.84,2.91,13.06,42.66,0,0,2.88,0,53.97,3.72,2.02,19.57,6.99,30.09
 84-94,0,0,30.15,28.29,23.42,60.3,1.39,333.98,3.92,9.11,4.86,48.57,10344.3,0,12.48,5.94,0.59,3.98,3,309.03,0,156.61,2.67,47.2,7.83,850.01,0.94,13.89,12.13,4.75,84.03,0,3.76,0.59,0,51.87,3.49,1.74,42.19,6.59,37.97
 96-106,0,0,80.72,89.33,41.77,130.91,0.62,473.96,6.31,19.4,15.27,133.59,12479.29,0,14.62,12.29,10.41,12.54,9.87,159.58,1.5,231.75,19.52,44.03,32.14,1918.81,1.4,18.78,19.27,37.98,130.41,0,0.7,0,0,31.08,13.17,7.15,60.96,19.87,45.13
108-118,0,0,32.67,159.11,62.13,55.27,12.9,360.41,6.73,5.55,11.99,66.7,17416.4,0,19.59,12.72,4.59,19.29,2.01,103.5,1.72,200.44,16.99,94.35,22.21,1634.27,4.09,4.43,2.7,33.31,87.47,0.42,2.25,1.19,0,25.5,15.64,6.82,24.66,13.43,26.07
120,7.1,0,27.25,124.66,90.15,58.16,7.02,189.21,1.06,5.75,14.78,71.05,12545.77,0,22.48,20.44,4.81,4.53,1.12,385.53,8.73,94.91,10.57,82.97,10.66,1482.05,0,25.64,2.59,94.39,24.18,0,1.94,1.6,0,19.56,6,0,34.88,2.27,0
