stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,3.29,0,0,0,0
 14-21,0,1.01,23.66,53.65,0.81,0.87,0,0,0,0,23.08,0.87,0,0,2.03,3.5,0,0,2.4,0,0,1.48,0,1.81,0,0,0
 24-34,0,0,59.84,39.66,0,0.59,0,6.13,0,1.8,36.63,0,0,0,17.22,42.83,0,0,14.91,0,0,7.74,0,1.86,0,1.08,0
 36-46,0,0,57.05,2.67,0,9.59,0,0,0,0,6.69,0,0,0,3.26,8.18,0,0,4.47,0,0,3.05,0,3,0,3.6,0
 48-58,0,0,41.3,3.83,3.85,1.54,0,0,0,0,2.24,0,0,0,3.74,11.22,2.25,0,12.41,0,0,0.89,0,2.81,0,9.58,0
 60-70,0,0,33.19,18.31,5.21,13.64,0,0,0,0,0.64,0,0,0,16.23,2.95,4.52,0.88,9.28,0,0,4.19,0,0,0,18.76,0
 72-82,0,0,21.15,31,6.3,4.74,0,1.52,0,9.91,4.11,0,0,0,2.05,19.36,2.73,0,4.63,0.75,0,0.72,0,0,0,22.6,0.51
 84-94,0,0,53.57,41.23,1.23,5.39,0,0.66,1.03,4.29,4.35,1.1,0,0,0,13.19,6.63,0,14.39,0,0.79,2.05,0,0,0,17.88,2.12
 96-106,0,0,44.81,48.05,12.84,5.88,0.58,0.75,1.63,2.94,1.67,0,0.9,3.8,7.4,22.71,5.42,0,6.24,0.89,0,0.94,0,0,0,16.72,0
108-118,0,0,74.12,75.95,11.23,11.29,0,0,1.04,8.61,0.93,0,0,0,2.01,5.96,8.12,0,15.73,0.96,0,0,0,0,1.1,17.23,0
120,0,0,124.37,80.52,0,8.32,0,0,0,6.09,0,0,0,0,0,11.02,21.6,0,9.03,0,0,0,0,0,0,26.14,6.37
