stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,12.05,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,3.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7.44,0.88,0,0,0,0,0.91,0,0.84,0.84
 24-34,0,2.4,0,0,0.78,0,0,0,0,0,0,24.38,0,0,0,0,4.13,0,0,5.24,0
 36-46,0,0,0.76,0,0,0,0,0,0,1.93,0,23.24,0.73,0,0,0,52.92,0,0.67,7.46,0
 48-58,0,0,0.99,0,1.41,0,0,0,0,1.03,0,14.09,0,1.22,0,0,18.47,0,0,1.12,0
 60-70,0,0.63,5.2,0,0,0,0,0,0,0,0,14.73,0,0,0,0,8.19,0,0,0,0
 72-82,0,0,8.81,0,0,1.68,0,0,0,0,0,28.32,0,0,0.56,0,19.52,0,0,3.57,0
 84-94,0,0,1.69,0,0,0,0,0,0,0,0,5.18,0,1.53,0,0,0.59,0,0,2.07,0
 96-106,0,2.01,10.84,0,0,0,0,0,0,0,0,4.62,0,0,0,0,26.27,0,0,0,0
108-118,0,0.96,11.62,1.05,0,0.88,0.87,1.15,0.43,0,0,23.34,0,0,0.45,0,29.62,0,0.94,0,0
120,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,25.53,0,0,0,0
