stage,endocrine.pancreas,eye,gut,liver,melanocytes,mesenchyme,neural,periderm,pronephros,spinal.cord,xanthophores
  3-4,0,0,0,0,0,0,0,11.57,0,0,0
 14-21,0,0,0,0,0,0,1.97,0,0,1.11,1.92
 24-34,0,0,0.68,0,0.68,1.14,10.91,0,0,0,0.79
 36-46,0,0.6,0,0,0.91,0,0,0,0,0,0
 48-58,0,1.93,0,1.04,0,0.48,0.57,0,2.28,0,0
 60-70,0,6.5,0,0,0,0,0,0,0,0,0
 72-82,0.57,0,0.56,0,0,0,0,0,0,0,0
 84-94,0,0,0.8,0,0,0,0,0,0,0,0
 96-106,1.37,0,0.59,2.18,0,0,0.99,0,0,0,0
108-118,0,0,4.97,0,0,0,2.64,0.71,0,0,0
120,0,0,8.14,1.05,0,0,0,0,0,0,0
