stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,10.2,125.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.3,0,0,0,0,0,0,0,0,11.41,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.04,0,0,0,30.05,0,0,0,0,0,0
 14-21,0,0,0,1.68,6.14,2.07,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,44.7,0,1,0,1.32,0,2.89,1.65,18.94,20.18,0
 24-34,0,0,0,0,0,4.26,0,0,1.02,0,0,0,0,0,0,0,2.06,0,0,0,152.64,0,7.4,0,0,3.58,0,0,51.52,14.6,2.11
 36-46,0,0,0,0,0,13.6,0,0,3.83,0,0,0,0,0,0,0,5.55,0,0,0,227.59,0,7.75,0,0,2.54,0,0,56.59,0,0
 48-58,0,0,0,0,0,62.29,0,0,15.9,0,0,0,0,2.21,0,0,5.63,0,0,1.45,402.01,0,9.14,0.5,0,5.53,0,0,81.16,0,0
 60-70,0,0,0,0,0,161.61,0,1.47,12.76,0,0,0,1.37,0,0,0,15.29,2.04,0,0.6,408.95,1.73,5.2,0.56,0,2.11,0,0,70.7,0,0
 72-82,0,0,0.56,0.84,0,299.31,4.54,0,26.69,0,0,0,0,0,0,0,26.58,0,2.79,0,442.73,0,9.82,1.32,0,3.68,0,0,50.05,1.1,0
 84-94,0,0,0,2.24,0,227.65,0,1.2,15.55,0,0,0,0.61,1.81,0.96,0,5.16,0,0,0,301.04,0,3.45,3.26,0,4.32,0,0,34.57,0.62,0
 96-106,0,0,0,0.64,1.38,249.47,0,1.24,23.9,0.93,0,0,1.26,0,0,0.69,13,0,0,2.75,257.71,0,1.92,4.65,0,13.75,0,0,7.69,0,0
108-118,0,0,0,2.87,0.77,231.14,0,0.53,7.75,0.94,0,0.46,1.59,0,0,0,6.81,0,1.62,0.52,400.73,3.07,7.04,6.06,0,22.02,0,0,10.33,0,0
120,0,0,0,0,0,129.8,0,0,25.5,0,0,1.42,0,0,0,0,29.42,0,0,0,309.82,0,4.64,6.19,0,21.2,0,0,34.7,0,0
