stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,233.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,443.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0,0,0
  7-9,18.85,0,12.4,0,0,0,13.42,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,163.18,3.96,0,0,44.84,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.85,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,105.79,0,0,0,28.22,0,0,0,3.99,0,0,0,0,0,0,0,0
 14-21,0,0,3.02,27.2,0,0,8.64,0,0,5.7,0,0,0,0,0.89,0,0,0,0,13.87,0,0,7.59,89.75,4.97,1.8,1.77,5.34,0,1.96,13.71,1.66,0,22.43,29.1,0,0,0,0,0
 24-34,0,0,0,4.27,0,0,3.82,0.75,0,0.65,0,0,0,0,0.65,0,1.27,0,0.62,12.37,0,0,3.09,80.91,0,4.26,0.64,0,0,4.75,0,1.38,0,4.02,17.69,0,0,0.85,0,0
 36-46,0,0,0,5.23,0,0,14.62,0,0,2.17,0.61,0,0,0.57,1.29,0,0,0,0,7.62,0,0.98,4,79.89,1.72,3.1,0.62,0,0,13.34,0,0,5.31,0,14.02,0,0,1.3,0,1.02
 48-58,0,0,0,3.99,0,0,14.77,3.77,0,2.61,0,0,0,0,8.45,0,0,5.01,3.1,11.63,0.42,0,0.94,47.46,0,2.53,10.64,0,0.59,8.09,0,0.43,0,0,7.61,0,0,0.56,0,0
 60-70,0,0.86,0,10.83,0,1,28.51,0,0,1.65,0,0,0,0,0,0,3.23,0,0,13.87,1.1,0,13.32,72.26,0,0,1.72,0,0,17.23,0,0,0,0,2.89,0,0.65,0,0,0
 72-82,0,0,0.75,3.61,2.15,0,24.96,0,1.19,3.36,0,0,0,1.13,0.54,0,0.61,0,0,12.58,0,0,0.64,31.27,0.91,11.01,2.9,0,0,5.51,0,0,0,0,8.05,0,0,0,0.9,0
 84-94,0,0.8,0,11.33,1.22,0,15.8,2.74,0,12.1,3.39,0,0,0,0,0.74,0,2.07,0,13.23,0,1.87,2.14,15.6,2.5,1.34,5.17,0,0,17.35,0,0.56,0,0,10.78,0,0.69,0.66,0,0
 96-106,0,0,0,6.17,23.25,0,20.35,0.98,0,1.72,3.34,0,0,0.59,0.81,0,1.53,0,0,3.16,5.17,0,0,18.4,0,0.66,6.54,0,0,17.83,0,1.63,0,0,0,2.03,0,0,1.59,0
108-118,0,0,0,6.19,6.49,0,4.95,1.51,0.72,9.08,0.47,0,0.43,0,2.96,0,4.8,0,0,0.79,0,0,1.71,38.49,0.45,3.73,9.62,0,0,9.6,0,1.36,0,0,0,0.67,0,0.63,0,4.11
120,0,9.35,0,16.9,5.08,0,15.47,0,0,3.69,6.22,0,0,0,2.02,0,0,2.22,0,5.19,0,0,2.81,5.43,0,4.78,0,0,0,24.33,0,1.47,0,0,0,1.47,0,3.55,3.95,0
