stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,55.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,6.74,0,0,0.76,0,52.14,0,0,0,0,1.03,0,0,0,0,0,0,0,0,17.03,0,0,0,0,1.64,2.04,0,0,0,0,0
 36-46,0,0,0,0,17.81,0,5.52,0,0.97,0,0,0,0,0,0,0,114.87,0,0,0,19.92,0,0,0,8.19,0,5.65,0,0,0,0,0
 48-58,0,0,0,0,28.73,0,3.05,0.44,4.26,0,0,0,0,0,0,6.11,1483.4,0,0,0.48,38.47,0,0,0,0,6.08,7.54,0,0,0,0,0
 60-70,0,0,9.11,0,24.88,0,0,2.23,4.3,0,8.52,0,0,0,0,0,1478.09,0,0,0,27.92,8.84,0,0.65,0,0,1.76,0,0.74,0,0,5.73
 72-82,0,35.61,0.67,0,188.24,0,0,0,9.8,0,0,29.35,5.31,0,0,0,2750.35,0,0,2.3,45.25,0,0,1.29,8.38,0,5.64,6.19,3.91,6.06,0,2.26
 84-94,0,0,3.11,0,85.07,2.24,0,0,0,6.28,0,0,0,1.05,0,0,3759.35,0,0,0.69,39.4,0,0,0,0,0,10.77,5.07,19.06,0,0,0
 96-106,2.08,28.28,0,0,100.58,0,0,1.72,31.75,1.73,3.02,0,0,0,11.05,0,2205.86,1.47,1.68,0,119.31,0,6.25,0,10.6,0,4.62,0,6.22,26.33,25.95,0
108-118,0.71,6.39,3.31,3.4,94.14,0,10.01,20.79,6.18,1.06,0.47,0.51,0.77,0,0.79,0,2326.62,0,0,2.18,60.61,0,0.95,1.12,1.29,0,1.86,0,7.3,0.74,0,0
120,0,14.92,3.61,0,11.02,0,2.19,1.44,21.43,0,0,0,0,0,0,0,4083.97,4.3,0,0,132.5,0,0,0,2.85,0,0,0,0,0,0,0
