stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,1.69,0,0,0,0,16.95,1.07,0,0,0,15.63,0.94,0,0,0,0,0,0,65.94,0,0,0
 24-34,0,0,0.64,0,0,1.12,0,0,0,0.63,0,0,0,0,0,6.7,8.72,0,0,1.68,246.32,0.62,0,0,1.11,0,1.67,0.75,246.8,0,0.93,0
 36-46,0,0,0,0,0,6.09,5.98,0,0,0.65,0,0,0,0,0,2.57,8.48,0,0,0.72,315.78,0,0,0,2.27,0,0,0,226.34,0,0,0
 48-58,0,0,3.48,0.69,0,8.78,10.71,1.71,0,11.76,0,0,0,0,3.8,2.85,8.23,0,0,2.09,253.18,0.52,0,0,0,0,0,0,129.84,0,0,4.76
 60-70,0,0,0,0,0,62.07,0.7,0,0,0,0,0,0,0,0,5.01,20.2,0,4.22,3.53,368.31,0,0,0,0,0,1.94,0,79.56,0,0,0
 72-82,0,0,1.55,13.19,0,129.09,1.86,0,0.94,8.38,0,0.58,0,0,0,6.42,7.7,0,0,0,438.96,0,0,0,0,0,0.79,0,185.24,0,0,0
 84-94,0,0,6.5,0,0,105.92,0.95,0,0,14.74,0,0,0,0,0,10.44,6.45,0,0,0.67,312.62,0,0,0,3.29,0,1.27,0,91,1.64,0,0
 96-106,0,0,1.75,19.56,0,152.15,0,0,0,19.21,0,0,0,0,0.89,22.59,22.02,1.9,0,0,316.39,1.94,0,0,4.38,0,0,0,38.42,1.74,1.95,0
108-118,0,0,1.13,1.29,0.48,159.59,1.58,0,0.72,9.26,0,0,0.98,0,2.31,13.25,18.74,0,0,1.98,340.42,0,0,1.83,0.65,0.97,1.22,0,27.35,1.46,0,0
120,0,3.9,2.08,0,0,192.59,7.45,10.7,0,17.43,0,0,0,4.61,0,38.11,2.22,0,0,2.15,646.29,0,14.75,0,0,1.12,1.6,0,36.21,0,0,0
