stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.26,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0.83,0,0.87,303.91,0,0,1.29,0,0,0,0,0,21.56,0,0,0,0,0
 36-46,0,0,0.67,0,0,14.71,0,1.39,0,0,0,0,0,0,0,0,0,0,1.37,0,0,875.37,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0
 48-58,0,0,1.85,0,0,184.31,0,0,0.55,15.79,0,0,7.69,0,0,0,0,0,8.14,0,1.04,1845.1,0,0.47,0,0,0,0.39,0,0,88.26,0,0,3.84,0,4.72
 60-70,0,0,12.08,0.6,0,1846.39,1.44,0,0,21.73,0,0,0,0,0,0,0,0,12.02,12.22,0.59,4239.85,6.52,0,0,0,0,3.38,0,0,227.43,0,0,0,0,5.81
 72-82,0,1.32,30.54,7.58,0,4758.41,1.11,2.14,0,114.9,0.85,0,0.59,0.53,7.11,1.05,0,0,69.09,6.45,6.41,7175.04,0,7.55,0,0,0,2.49,0,0,320.31,3.84,0,3.53,0.76,17.7
 84-94,0,2.57,41.66,6.88,0,3406.47,0,1.64,3.01,137.51,2.42,0,2.34,1.29,13.12,0,1.49,9.11,65.15,3.07,3.74,5352.98,0.62,0,2.4,0,0,21.21,0.73,0,240.03,1.79,0.57,8.77,0.77,4.59
 96-106,0,0.74,38.54,29.69,2.1,4922.46,4.24,8.18,11.39,204.86,3.28,0.78,3.47,1.39,3.4,2.1,11.97,6.84,76.19,6.36,5.33,5909.26,0,0,8.51,0,4.07,22.8,0,1.07,148.48,0,3.48,24.22,4.52,17.11
108-118,0,0,57.87,10.01,0,5139.6,0,0.81,2.16,239.66,4.38,0.99,7.33,0.59,1.47,0.56,4.6,1.73,62.38,6.08,2.79,5932.07,1.88,10.47,9.76,0,0,16.83,0,0,122.72,0,6.45,3.55,7.35,1.55
120,0,0,78.4,8.34,4.04,3160.67,2.26,1.21,0,180.96,3.99,0,30.5,0,0,0,0,0,104.46,17.89,26.21,9275.38,0,16.25,2.11,0,0,17.52,0,0,215.84,1.81,0,20.61,0,4.83
