stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.33,839.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.34,0,0,0,0,0,0,0,0,0,0
  5-6,34.91,609.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.15,0,0,0,0,0,50.12,0,0,0,0,0,0,0,0,0,0
  7-9,15.69,27.82,0,18.23,0,0,0,79.17,0,0,0,0,50.18,0,0,0,0,0,0,0,0,0,0,0,306.61,24.14,0,0,179.86,0,54.74,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,13.96,0,48.65,0,4.44,0,4.46,0,0,0,0,16.46,0,0,0,0,0,0,0,0,0,0,0,413.68,15.65,0,0,129.13,0,27.71,0,11.7,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.71,50.65,7.71,0,17.89,0,0,2.15,4.22,0,0,0,34.8,0.87,0,0,11.65,38.32,0.97,0,19.38,163.35,75.86,1.19,0,4.73,0,127.73,29.97,0,2.4,30.94,28.12,0,0,3.17,0,6.42
 24-34,0,0,0,2.05,26.42,0,0,41.7,4.98,1.87,7.31,0.67,0,3.06,0,28.13,12.12,0,3.29,65.09,68.78,0.73,0,26.91,435.2,11.34,25.63,1.03,0,0,158.75,0,0,0,3.76,63.12,0,0,19.57,0,62.79
 36-46,0,0,0,0,23.75,0,0,60.99,2.95,4.55,28.37,2.05,0,2.52,0.58,3.28,23.28,1.36,0,48.64,107.76,1.64,1.26,33.73,479.74,21.2,15.08,6.1,0,0,122.94,0,0,0,0,63.69,0,0,11.35,0,65.89
 48-58,0.58,0,0,0,24.33,0,0,109.28,8.81,1.83,60.64,1.77,0,2.09,0,8.96,56.25,0.48,7.01,40.92,149.22,9.66,6.35,28.03,497.17,16.67,6.72,4.25,0,0.45,74.34,0,0,2.07,0,78.3,0,0.49,41.22,0,101.16
 60-70,0,0,0,0,30.4,3.32,0,90.01,11.46,19.6,168.71,12.9,0,0,11.08,8.99,165.04,2.29,0,32.98,243.66,3.33,4.15,7.51,562.38,7.79,10.84,1.24,0,0,124.19,0,0,0,0,68.92,0,4.05,8.01,0.71,80.02
 72-82,0,0,1.19,0,27.41,12.37,0,87.35,0.78,12.53,368.03,18.62,0.6,2.92,3.22,21.76,95.66,6.79,2.18,17.69,370.74,1.61,18.57,17.73,729.92,5.52,13.26,8.37,0,4.35,97.88,0,1.22,0,0,60.33,2.32,3.63,36.62,5.17,46.99
 84-94,0.62,0,0,0,67.79,17.69,0,94.69,7.32,5.44,277.3,36.74,0.71,3.1,10.09,31.08,198.24,3.02,2.81,29.35,322.15,5.78,18.89,21.21,517.88,7.44,25.37,5.51,0,0.83,338.68,0,7.74,0,0,42.75,3.67,1.95,31.35,1.97,67.61
 96-106,1.12,0,0,0,63.16,29.15,0,68.35,22.89,4.52,490.09,51.6,0,3.53,11.36,40.87,213.7,3.36,20.43,12.08,336.14,6.09,11.63,15.09,507.77,6.06,24.71,3.36,0,14.07,265.65,0,0.59,0,0,33.81,10.89,3.54,43.79,4.12,110.82
108-118,0,0,0,0,103.45,23.88,2.07,84.7,16.89,7.2,456.48,73.68,0,2.64,12.93,43.7,343.88,7.82,1.34,47.27,410.32,3.18,27.11,24.16,575.58,8.23,19.91,12.98,0,4.4,356.25,0,4.36,0,0,31.62,11.48,6.46,18.08,5.56,88.66
120,0,0,0,0,80.77,4.58,0,37.61,23.65,5.31,641.42,78.35,0,0,10.2,35.37,208.77,0,8.4,12.17,444.82,3.55,24.54,29.22,666.79,14.12,13.09,26.77,0,13.12,208.97,0,2.96,0,0,17.73,5.19,5.53,51.97,9.22,68.76
