stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,14.94,120.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,0,0,0
  5-6,0,99.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0
  7-9,10.3,5.29,0,0,0,16.55,0,9.59,0,0,0,0,0,99.05,0,17.68,0,0,0,0,0,0
 10-12,0,0,6.84,0,0,4.66,0,0,0,0,0,0,0,9.03,0,7.48,0,0,0,0,0,0
 14-21,0,0,0,0.83,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,2.1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,1.61,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.61,0.65,0,0,1.33,0,0,0,0,0,2.37,0,0
 48-58,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0.41,0.44,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.26,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.4,0,0,0,0,0.87,1.42,0.63,13.21,1.16,0,0,2.42,0,5.61,0.72,0
 96-106,0,0,0,0,0,0,1.19,0,0,0,0,0,0,5.76,0,0,0,0.66,0,0,0,0.66
108-118,0,0,0,0.98,0,1.95,5.94,0,0,0,7.46,0,0,5.08,0,0,0,0.42,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0
