stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  5-6,22.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,3.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.21,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0
 36-46,0,0,0,0,1.36,0,0,0,0,0,0,0.63,0.95,11.63,0,0,0,0,7.13,0
 48-58,0,0,0.5,0,0.37,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0.59,0
 60-70,0,0,0,0,12.14,1.34,0.97,4.2,0,0,0,0,0,9.87,0,0,1.19,0,11.67,0
 72-82,0,0,0.52,0.67,56.59,0,0.91,0,0,3.21,0,0,0,1.9,0,0,0,0,0,3.34
 84-94,0,0,2.22,0,70.56,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.81,0,0,157.11,0,0,0,0,0,1.03,0,0,1.97,0,0,0,0,0,0
108-118,0,0,0.92,0,188.19,0,0.91,0,0.58,0,0,0,0.54,0,0,0,0,0,0,0
120,0,0,0,0,317.88,0,0,0,0,0,0,0,0,11.79,0,0,0,2.1,0,0
