stage,eye,glial,gut,mesenchyme,muscle,neural,spinal_cord
  7-9,4.21,0,0,0,0,7.11,0
 14-21,0,0,0,0,0.99,0,0.81
 24-34,0,0,0,0,0,3.36,3.14
 72-82,0,1.45,0,0,0,4.48,2.79
 84-94,0,0,0,0,0,4.65,3.07
 96-106,0.67,7.85,1.06,0,0,0.58,7.45
108-118,1.59,5.08,0,2.69,0,19.68,0
120,0,6.7,0,0,0,0,0
