stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
  7-9,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.5,0,0,0,4.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880.77,6.41,0,0,5.52,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,320.75,0,0,0,0,0,0,0,0,1131.03,0,0,1.23,51.13,2.25,17.57,0,1.29,0,0,38.16,2.08,0,0,0,0,0,0,0
 24-34,0,0,0,76.34,0,0.71,0,6.6,0,0,0,0,1506.31,0,2.88,3.6,165.27,0.78,44.85,5.32,0.68,0,0,6.42,0,0,0.67,1.99,0,0,0,0
 36-46,0,0,0,38.84,0,4.73,0,2.24,0,0,0,0,503.11,0,0,0,17.15,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,30.43,0,0.69,0,9.95,1.15,0,0,0,185.68,0,0.73,1.31,13.33,0,21.65,0,0.91,0,0,0,0,0,0,2.15,0,0.52,0,0
 60-70,0,0,0,39.7,0,3.36,0,5.23,0,0,0,1.88,161.41,0,2.97,1.3,3.53,0,14.23,0,0,0,0,1.96,0,0,0,0.82,0,0,0,10.2
 72-82,0,0,0,32.03,0.54,16.63,0,0,2.24,1.23,0,0,297.96,0,1.91,0.86,8.15,0,22.18,0,3.58,0,0,0,0,0,0,2.48,0,1.18,0,0
 84-94,0,0,0,90.93,0,5.66,0,19.25,0.97,0.83,0,0.77,738.63,0,3.92,1.76,4.96,0,18.71,0,8.28,4.57,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2,98.61,0,21.95,0,3.05,1.88,4.59,0.61,0,569.35,0,15.08,13.59,8.73,0,12.04,6.5,5.54,0,0,2.33,0,0,0,0,0,0,0.66,0
108-118,0,0,0,95.6,0,2.47,0,0,2.15,0.51,0,0.41,461.45,1.99,11.06,1.34,10.45,0,16.51,0,8.76,0,0,8.64,0,0.6,0,0,1.93,0,0.6,0
120,0,0,0,52.24,3.09,0,10.67,0,1.87,2.35,0,2.72,323.74,0,0,9.74,15.32,0,16.88,0,4.6,0,0,1.14,0,0,0,0,0,0,0,0
