stage,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0,0,0
 14-21,0.84,0,0.84,0,0,0,0,0,0,0,0,0,0.93,0,0,0.93,16.44,0,0,1.37,2.59,0,0.82,9.45,0,0,0
 24-34,0,0,4.47,0,0,2.24,0,0,0,0,0,0,5.25,0,0,0.65,66.58,0,0.79,0,2.17,0,0,13.62,0,0,0
 36-46,0,1.91,16.97,0,0,11.89,0,0,2.72,0,0,0,11.38,0,0,2.3,81.04,0.98,9.6,0,0,0.6,0,18.28,0,0,0
 48-58,0,0,38.14,0,0,9.87,0,0,0,0,0,0,14.22,0,0.84,0.85,81.81,1.12,1.3,0,0,0,0,17.21,0.64,0,0
 60-70,0,1.45,47.63,0.81,0,5.41,0.62,0,0,0,0.72,0,12.22,0,0,0,68.1,1.19,0,0,0,0,0,9.93,1.85,0,0
 72-82,0,0,18.61,0,0,5.73,0,0,0,0,0,0,15.03,0,1.01,1.88,48.21,1.59,1.19,0,0,0,0,7.78,1.57,0.64,0
 84-94,0,0,23.47,0,0.85,7.79,3.89,0,0,1.35,0,0,15.68,0,0,1.54,22.5,0,1.5,0,0,0,0,6.27,0,0,0
 96-106,0,0,20.84,0,0,15.76,0,0,0.75,0,0,0,18.18,0,0,1.81,19,0.58,2.12,0,0,0.78,0,0,0,0,9.89
108-118,0,0.44,12.04,0,0,10.61,1.04,0.69,0,0,0.6,0.59,10.07,5.97,0,1.71,29.42,0,0.48,0,0,0.72,0,0,0,0,0
120,0,0,6.41,0,0,22.49,2.52,0,6.1,0,0,0,1.91,0,0,3.92,26.76,0,0,0,0,0,0,7.63,0,0,0
