stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,129.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,146.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,3.64,77.56,0,0,0,0,0,0,0,0,0,74.11,0,0,0,0,0,0,0,0,0,0,0,42.09,13.32,0,0,39.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,72.29,0,8.31,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0,84.91,0,0,0,44.78,0,0,0,8.18,0,0,0,0,0,0,0,0
 14-21,0,0,2.9,8.93,12.55,0,0,0,0,0,1.95,1.85,1.47,1.1,0,1.3,0,0,19.31,0,9.04,0,0,7.82,49.75,0,0,14,0,0,8.29,3.47,678.64,31.08,32.48,4.51,0,0,0,0,0
 24-34,0,0,0,2.16,3.66,0,19.71,26.1,0,0,67.07,0.78,0,3.71,0,4.08,0.64,0.62,11.86,0,12.71,0,0,31.63,85.54,0.68,3.33,5.15,0,0,5.51,0,1948.34,23.16,59.86,12.69,0,0,0.71,0,0
 36-46,0,0,0,0.8,0,0,44.32,36.39,0,0,243.21,0.67,0,0.63,0,21.18,0,0.6,1.35,0,20.43,0,5.63,15.25,41.89,1.45,1.2,5.05,0,0,3.15,0,1005.24,9.81,4.81,25.42,0,0,0,0,2.01
 48-58,0,0,0.43,11.67,1.75,0,366.96,21.33,0,0.85,859.74,2.52,0,1,0,13.28,10.22,0,2.9,0,112.93,0,7.1,7.64,94.74,0,1.42,11.96,0,0,0.4,0,730.48,0.86,0,65.43,0,1.52,1.03,0,0
 60-70,0,0,2.79,3.3,1.21,0,1159.71,3.95,3.18,0,3921.08,3.49,0,0.69,0,13.75,8.75,0,6.19,0,325.99,0.84,4.57,3.55,152.96,0,0,15.71,0,2.41,10.76,0,527.04,4.84,0,289.16,0,4.76,2.1,0.71,15.61
 72-82,0,0,0,23.47,22.73,0,1205.79,3.04,0,1.81,7122.86,10.74,0,1.33,0,5.17,0.73,1.04,0,0,488.55,3.53,5.12,12.63,180.51,0,0,8.53,0,3.03,8.48,0,337.79,0,0,329.3,2.61,7.47,10.54,3.83,0
 84-94,0,0,0,17.13,13.05,0,1091.89,14,2.17,0,6210.12,20.38,0,0,0,11.47,0,0,1.28,4.96,465.29,5.74,20.24,12.28,85.55,0.62,0,13.81,0,0,9.18,0,478.07,0.91,0,193.55,2.9,2.57,12.71,10.8,8
 96-106,0,0,0,47.55,19.51,1.96,974.62,9.14,1.12,3.05,5744.45,54.38,0,0,2.81,10.87,4.63,0.89,16.66,0,546.41,0,9.82,32.07,263.01,0.57,1.34,20.89,0,0,12.83,0,282.14,0.6,0,238.37,2.08,0.85,16.25,5.89,0
108-118,0,0,0,24.32,19.37,0.48,758.74,2.96,2.83,4.55,5891.88,123.81,0,4.06,0.86,26.94,1.53,0.72,6.87,0,452.12,0,7.34,33.07,179.98,0.54,0.75,34.61,0,0,5.61,0,109.98,0.52,0,176.51,3.76,1.1,4.33,2.9,0
120,0,0,1.28,65.29,3.02,2.35,982.64,2.42,1.78,0,10036.45,179.93,0,0,9.09,9.8,3.12,1.74,5.83,0,525.66,0,26.66,36.86,264.13,6.81,4.31,12.1,0,0,2,0,82.54,0,0,349.36,0,2.71,8.33,0,8.94
