stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,10.12,107.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,385.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,14.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,20.9,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,141.94,0,0,0,21.09,0,0,4.3,0,0,0,0,0
 10-12,0,0,0,4.07,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.21,4.45,0,0,39.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.8,0,4.46,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,1.01,19.19,0.94,0,0,0,0,0,0.91,4.6,5.53,11.27,0,0
 24-34,0,0,0,0,3.4,0,4.95,0,0,2.43,0,0,0,0,0.72,0,0,0,10.7,0,0,1.48,172.17,0,4.73,0.69,0,0,2.06,0,0,0.65,28.39,0,1.36
 36-46,0,0,0,0,0,0,25.43,0,0,5.94,0,0,0.82,0,0,3.76,0.57,0,7.72,0,0,0.95,120.41,0,0,0,0,0,1,0,0,0,19.42,0,0
 48-58,0,0,0,0,0,0,52.58,0,0.42,3.15,2.58,0,0,0,0,0,0,1.32,7.83,0,0,0,71.57,4.92,0,0,0,0,4.36,0,0,0,18.82,0,0
 60-70,0,0,0,0,0,0,38.64,0,0,4.58,0,0,0,0,0,0.69,0,0,10.92,0,1.58,0,88.1,0.75,2.5,0,0,0,0.86,0,0,0,5.8,0,0
 72-82,0,0,1.6,0,1.16,0,41.23,0,0,7.8,0,0,0,0,0,2.21,0,0,25.84,0,0,0.71,67.16,0,0,1.52,0,0,0,0,0,0,1.95,0,3.84
 84-94,0,0,0,0,0.9,2.41,22.51,0,0,14.43,0,0.76,0,0.95,0,0,0,0,26.44,0.78,0.57,0.87,32.85,0,0,0.92,0,1.49,2.04,0,0,0,1.5,0,1.24
 96-106,0,0,0,0,0.57,0,9.97,0,0.81,9.14,0,0,1.46,0.56,0.86,0,0,0,2.93,0,0,0,33.23,0,0,1.28,0,4.1,4.74,0,0,0,4.63,0,0
108-118,0,0,0,0,0.42,0,14.05,0,0,6.89,0,0,0,0,0,0,0.69,0,7.85,0,0,1.1,42.62,1.15,0,0,0,0,0.59,0,0,0,0,1.23,0
120,0,0,0,0,4.38,0,21.95,2.37,0,23.38,0,0,0,1.6,2.78,0,1.06,0,6.11,0,0,0,48.33,0,1.09,0,0,0,4.19,0,0,0,0,0,0
