stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
 14-21,0,2.66,0,0,1.02,0,0,1.99,0,17.97,0,0.88,0,1.01,1.77,3.86,0
 24-34,0.62,0,0,0,0,0,0,2.97,0,4.31,0,0,0,0,0,1.69,0
 36-46,0,0,0,0,0,0,0,2.86,0,7.79,0,0,0.76,0.74,0,0.93,0
 48-58,0,0,0.83,0,0.63,0,2.25,0.52,0.65,14.25,0,0,0,0,0,0,0
 60-70,0,0,6.14,0,0.82,0,0,0.59,0,4.44,0,0,0,0,0,0,0
 72-82,0,0,0.61,0,1.6,0,0,1.51,0,21.36,0,0,0,0,0,0,0
 84-94,0,0,2.64,0.59,0,0,0,0.85,0,2.33,1.4,0,0,0,0,0,1.34
 96-106,0,0,5.44,0,0,0,0,0,1.92,0,0,0,0,0,0,4.02,0
108-118,0,0,0,0,0,0.63,0,2.26,0,14.24,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,14.04,14.55,0,0,0,0,0,0,0
