stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,41.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,21.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,167.15,0,0,0,0,0,0,9.87,0,17.83,0,0,0,0,60.95,0,0,30.75,17.34,26.65,0,0,0,0,0,2.26,0.81,1.91,0,1.94,0,0,88,0,0
 24-34,0,0,4.46,17.19,0,0,0,10.68,0,0,6.79,8.21,44.03,0,0.85,0,0.96,440.33,0,0.82,211.31,82.81,3.18,0,0,0,0,1.79,2.32,0,0,7.1,3.47,0,0,422.75,0,0
 36-46,0,0,7.51,7.84,6.06,0,4.76,32.9,0,0,1.09,1.75,39.69,0,0,0,0,692.3,0,5.19,174.48,115.64,1.14,0.6,0,0,0,0,1.71,0,0,0,2.14,0,1.85,199.03,0,0
 48-58,0,0,2.09,6.79,23.21,0,5.35,40.2,6.14,0,0,11.87,70.72,0,0,0,0,715.55,0,22.58,114.14,146.43,0,0,0,0,0.79,0.81,0,0,0,0,6.95,0,0.51,150.87,0,0
 60-70,0,0,4.46,11.41,22.68,0,1.31,36.55,4.86,0,0,3.68,62.95,0,0,0,0,972.3,0,26.56,80.62,84.5,0,0,0,0,2.72,7.88,0,0,0,0,11.44,0,9.51,133.5,9.45,0
 72-82,0,0,2.5,0,36.94,0,0,45.49,4.76,1.1,0,8.09,104.72,3.94,0,1.37,0,1125.34,0,39.93,87.23,47.45,0,0,0.61,0,7.01,1.86,0,0,0,0,0,0,16.82,177.2,29.8,7.36
 84-94,0,0,2.57,7.13,74.54,0,2.49,35.12,2.57,0,0,3.2,130.65,0,0.96,0,0,893.97,0,48.4,71.93,52.49,0,0,0,0,4.88,0,0,0,0,0,4.56,0,14.61,224.16,31.74,1.41
 96-106,1.12,0,0,6.19,20.44,0.64,3.6,21.14,2.73,0,0,15.43,127.44,0,0,0,1.27,581.67,1.42,21.28,36.31,104.68,0,0.87,0,0,14,2.85,0,0,0,0,1.3,1.68,15.21,151.57,19.86,0
108-118,0,0,2.84,6.44,20.59,0,0,26.66,3.32,0.51,0,7.31,101.9,0,0,0,0,693,0,21.9,36.48,39.39,3.11,0,0,0,6.36,0,0,0,0,0,0,0,9.01,149.61,26.41,0
120,0,0,7.04,3.81,36.02,0,0,39.63,10.59,0,0,9.65,196.15,0,0,0,0,823.21,0,69.78,28.39,63.65,0,10.3,13.71,0,9.74,2.81,0,0,0,0,0,0,8.2,248.6,42.32,0
