stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature,xanthophores
  3-4,1236.61,5057.43,0,0,0,0,0,0,0,0,0,0,0,0,0,35.17,0,0,0,0
  5-6,2239.08,9786.37,25.53,0,0,0,0,0,0,21.21,0,0,224.74,44.39,116.81,0,0,0,0,0
  7-9,5.57,0,8.42,0,0,8.73,0,0,0,43.02,0,0,102.26,24.76,311.84,0,8.66,0,0,0
 10-12,0,0,4.98,0,0,0,0,0,0,0,0,0,9.81,0,68.43,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0.91,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.78,1.03,4.99,0,0,0,0,0,0,0
 36-46,0,0,0,0.77,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0.67,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,2.42,0,0,0,0
 60-70,0,0,0,0,0,139.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.23,233.55,0,2.66,0,0,1.81,0,17.83,0,0,0,0,0,0,5.6
 84-94,0,0,0,2.43,0,135.16,0.91,0,0,0,1.44,0,12.65,0,0,0,0,2,0,0
 96-106,0,0,0,0,0,95.92,0,0.66,0,0,0.94,0.9,4.13,0,0,0,0,0,0,0
108-118,0,0,0,0,0,119.86,0.48,2.6,0.48,0,0,0,17.11,0,0,0,0,0,2.17,0
120,0,0,0,0,0,74.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
