stage,blastomeres,exocrine.pancreas,eye,glial,neural,notochord,olfactory,paraxial.mesoderm,periderm
  5-6,14.45,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.75,0
 14-21,0,0,0,0,0.94,1.01,0,0,0
 36-46,0,0,0,0.89,3.24,0,0,0,0
 48-58,0,0,0,0,5.71,0,1.2,0,0
 60-70,0,0,0,0,10.75,0,0,0,2.28
 72-82,0,0,2.4,0,13.07,0,0,0,0
 84-94,0,0,0,0,2.21,0,0,0,0
 96-106,0,0,3.16,0.94,9.62,0,0,0,0.85
108-118,0,1.53,2.93,1.48,2.97,0,1.25,0,0
120,0,0,7.57,0,3.37,0,0,0,0
