stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,17.69,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.47,4.64,0,17.73,0,0,12.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,39.04,0.99,0,3.48,0,0,0,1.21,3.24,0,3.88,0,1,0,0,0.85,10.03,2.24,0,8.56,30.75,1.8,0,0,0,0,1.1,11.79,2.29,79.54,185.11,1.74,0,0,2.99,0,0.98
 24-34,0,0,0,0,12.39,9.77,0,0,1.35,0,0.64,0,10.57,31.39,0,0.61,1.81,2.51,0,0,8.63,41.96,0,0,0,0,6.75,0,0,1.37,10.32,49.14,5.78,0,0,0,0,0
 36-46,0,1.03,0,0,11.69,50.79,0,0,1.13,0,0,0,16.84,24.79,0,0.93,0,0,8.63,0,2.65,25.97,0,0,0,0,10.17,0,0,0,13.34,3.1,1.38,0,0,0,0,0
 48-58,0,0,0,0,27.01,22.49,0,2.26,3.93,0,0,0,21.06,10.59,0,5.19,0,15.19,1.17,0,5.1,49.21,0,0,0,0,0.45,0,0,0.51,14.75,0,3.95,0,0,0.41,0,6
 60-70,0,0.81,1.05,0,12.86,21.55,0,0,0.84,0.82,0,0.78,49.29,5.3,0.6,2.4,0,27.09,0,0,3.55,24.22,0,0,0,0,0,0,0,10.31,11.84,0,0,0,0,0,0,0
 72-82,0,3.59,0,2.99,19.79,10.92,0,0.66,5.18,0,0,0,26.39,18.31,0,21.54,0,68.19,0,0,1.26,16.75,0,0,0,3.18,3.91,0,0,29.83,11.21,0,4.88,0,1.63,0.63,0,0
 84-94,0,5.18,5.34,3.54,26.68,25.67,0,0.87,0.69,0,0,0,43.03,16.68,2.06,17.74,0,82.79,0,0,1.64,11.71,0,0,0,0,6.18,0,0,28.38,11.65,0,3.51,0,2.12,2.29,2.36,0
 96-106,0,9.01,15.18,16.88,43.96,11.35,0.65,0,3.2,0.96,0,2.51,39.8,23.66,1.05,44.45,0,109.71,0,7.22,3.89,40.5,0.79,0,0,3.92,9.12,0,0,37.96,14.7,0,1.89,0.59,0,6.55,0,10.23
108-118,0,1.1,2.76,30.54,21.89,19.51,0.45,0,9.33,1.69,0,0,26.41,20.88,3.62,40.06,0,54.4,5.43,0,3.43,57.91,0,1.71,0,4.99,2.51,0,0,35.41,8.79,0,0,1.4,0,0.5,0,0
120,0,2.77,14.66,6.47,8.59,2.52,0,0,5.34,0,0,0,67.48,12.61,0,17.65,0,64.47,0,0,7.2,20.96,0,0,0,0,0,0,0,17.58,3.7,0,0,0,0,0,3.35,16.58
