stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,58.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.9,4.11,9.11,0,0,11.29,0,0,5.01,0,0,0,0,0,0,0,83.55,13.43,0,48.84,0,0,0,0,0,0
 10-12,0,7.45,8.86,0,0,17.8,0,0,3.42,0,0,0,0,0,0,0,96.26,0,0,14.89,0,4.05,0,3.24,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.34,3.74,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.75,2.67,0,0,2.05,0,0,0,0,2.7,0,4.41,0.64,0
 36-46,0,0,0,0,0,1.08,0,0,0,0,0,0,0,4.64,0,0.55,7.33,0,1.59,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.47,0,0,0.37,0.58,0,0,0,1.42,0.53,0,8.58,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.49,0,0.61,0,0,0,0,0,0,0,0,40.6,0,2.36,0,0,5.04,0,0,0,1.17
 72-82,0,0,0,0,0,2.27,0,0,0,0,5.23,0,0,2.85,2.66,0,307.34,0,5.13,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.42,16.77,0,0,0,0,0.95,0,0,0,0.94,0,168.07,0,22.97,0,0,0,0,0,0,0
 96-106,0,0,0,0.92,7.1,16.23,0.56,0,0,0,3.48,0,0,0,2.66,0,213.28,1.64,44.44,0,0,0,0,0,5.39,1.04
108-118,0,0,0,0.93,0,8.29,0,0,0,0.43,0.42,0.85,0,4.97,2.52,0,447.98,0,26.27,0,2.53,12.46,0.54,0,0,0.86
120,0,0,0,5.38,0,18.93,0,11.11,0,0,1.81,0,0,8.23,2.03,0,497.51,0,9.78,0,0,0,0,0,0,0
