stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.83,8.35,1.71,2,0,0,0,1.03,0,0,0,0,0,0,0,4.06,0,0,4.25,31.53,0,0,0,2.7,3.25,0.92,3.87,10.23,0,0,1.1,0,0
 24-34,0,1.81,0.76,0,9.25,8.32,0,0,0,0,0,0,0,1.1,0,2.42,1.51,16.65,0,0,3.98,205.08,0.99,2.97,1.47,2.08,0,0,4.62,39.96,0,0,4.67,0,0
 36-46,0,1.72,0,3.17,1.39,18.71,0,0,0.79,0.6,0,0,0,0,0,0,3.46,9.01,0,0.8,1.7,140.2,0,0,0,19.54,0,0.56,0,18.1,0,0,0,0,8.59
 48-58,0,0,0,7.5,0,46.24,3.47,0,0,10.07,0,0,0,0,3.38,0,0,19.89,1.67,0,2.61,192.11,0,0,0,6.35,0,0,0,29.03,0,0,0.51,0,0
 60-70,0,0,0,0,0,114.86,6.7,0.96,0,15.6,0,0,0,0.6,0,0,3.05,34.72,0,0,0.67,302.05,0,0.98,0,11.68,0,0,0,46.76,0.77,2.09,0,0,0
 72-82,0,0,0,1.78,0,72.36,0,0.55,0,7.7,0,0.58,0.58,0,0,0,0,11.22,0,0,2.71,182.64,0,1.03,0.62,3.11,0,0,0,22.6,0,0,4.87,0,0
 84-94,0,0,0,4.3,0,21.9,0,0,0,6.78,0,0,0,0,0,0,0,24.26,0,0,0,68.9,0,1.86,0,6.63,0,0,0,5.11,0,0,0,0,0
 96-106,0,0,0,0,1.2,21.34,0,0.57,0,4.93,1.06,0.78,0,0,0,0,0,12.47,0,0,0.8,35.22,0,0,2.85,0.9,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.89,0,13.39,0,0,1.26,2.24,0,0,0,0,1.62,0,0,1.73,0,0,0,59.05,0,0.51,0,0.57,0,0,0,0,0,0,1.85,0,0
120,0,0,0,4.46,8.42,30.21,0,3.84,0,19.51,0,0,2.31,0,0,0,0,15.37,0,0,0,156.3,0,0,0,4.44,0,0,0,4.09,0,0,0,8.42,0
