stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.86,0,0,0,0,0,0,0,0,0,46.64,0,0,30.01,0,0,0,0
 10-12,11.75,7.46,0,20.32,0,0,0,0,0,0,263.3,0,0,6.93,0,0,0,0
 14-21,0,0,2.86,3.66,0,0,0.93,1.46,0,1.2,127.34,1.04,5.26,0,0,25.9,0,0
 24-34,0,0,2.75,25.78,0,3.42,2.05,1.17,0,1.32,368.63,6.49,1.62,0,0,67.88,0,0
 36-46,0,0,2.49,18.98,0,25.81,0,1.13,0,0,443.66,4.89,1.13,0,0,140.44,0,0
 48-58,0,0,0,46.2,0,22.3,0,0.4,2.77,0,246.01,0,2.08,0,0,80.93,0,0
 60-70,0,0,1.79,49.37,0.83,19.23,0.7,1.51,0,0,122.15,0.89,0.9,0,2.31,46.71,0,0
 72-82,0,0,0,6.32,0,11.02,0,0,0,0,55.89,0,0,0,0,23.01,0,0
 84-94,0,0,1.86,3.5,0,15.91,0,0.8,0,0,42.19,2.31,1.37,0,0,18.42,0.93,0
 96-106,0,0,0,8.73,0,9.99,0.75,0,0,0,17.84,1.63,0,0,0,0,0,0
108-118,0,0,0,8.78,0,9.21,0.41,0,0,0,40.09,0,0,0,0,4.81,0,0
120,0,0,0,5.27,0,19.03,2.13,0,0,0,78.21,0,1.66,0,0,0,0,8.42
