stage,blastomeres,epidermis,fin_epithelia,hatching_gland,immune,periderm
  3-4,17.47,0,0,0,0,0
 10-12,0,0,0,5.9,0,0
 36-46,0,0,0,0,0,1.83
 96-106,0,1.95,0,0,1.94,0
108-118,0,0,0.42,0,0,0.92
