stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.92,1.84,0,2.12,0,1.16,0,0.91,0,1.02,0,0,0.86,0,0,0.97,0,2.29,0,0,0,69.16,4.91,0,1.02,0,0,2.81,20.87,0,20.02,28.04,23.94,0,0,0,0,0
 24-34,0,1.41,5.77,0.99,0,7.47,0,0,3.41,0,1.02,2.87,1.84,0,1.51,1.32,0.72,0,0,4.77,0,0,4.42,67.19,2.77,2.68,0.72,0,0,16.43,0,0,1.26,5.42,11.15,0,0,1.33,0,0
 36-46,0,0,10.99,0,0,18.71,0,4.59,0,1.47,0.66,11.41,0,0,0.6,1.37,0.68,0,1.44,12.54,1.5,0,4.31,108.12,1.05,0,0,0,0,41.83,0,1.81,5.53,0,11.66,0,0,0,0,0
 48-58,0,0,7.4,1.4,0,5.57,3.05,1.2,0,1.78,0,37.22,0.66,0,0,0,0,0,0,9.62,0,0,1.12,51.93,0,4.8,0,0,0,23.82,0,0,0,0,9.22,0,0,0,0,0
 60-70,0,0,22.85,0.58,0,33.44,0,5.88,0,10.93,0,29.04,0.7,0,0,0,0,0,0,22.09,1.01,0,1.13,150.74,0,2.49,0.62,0,0,51.72,0,0,3.52,0,31.02,0,1.03,2.42,0,5.74
 72-82,0,0,9.61,1.19,0,30.88,0,0,15.64,4.56,3.93,5.24,2.29,1.28,0.64,0,0.81,3.14,0,46.96,0,0,3.16,61.3,1.72,0,5.11,0,2.36,14.92,0,0,0.57,0,13.81,0,0,3.03,0,1.94
 84-94,0.62,0,20.7,4.8,0,8.83,0,4.75,4.9,7.36,0,15.46,3.03,0.91,1.18,1.91,2.58,0,1.13,24.31,2.97,4.73,0,49.94,0,1.72,0,0,0,36.78,0,0,2.61,0,15.2,0,0,4.22,0,12.07
 96-106,0,0,14.71,1.41,0,45.99,3.95,3.52,3.17,13.97,1.27,0,1.52,0,1.74,0,0.64,0,0,30.39,0.69,0,8.28,37.89,1.27,6.53,3.78,0,0,20.82,0,0,0.82,0,4.16,0,0,3.13,0.81,9.78
108-118,0,0,46.02,9.74,2.77,32.66,0,11.18,6.84,18.57,2.16,0,1.72,0.46,5.8,2.62,4.97,8.57,0.74,107.79,1,0.71,12.86,71.18,0.44,0.41,4.86,0,0,34.48,0,1.21,1.69,0,2.41,1.29,1.9,3.69,0,2.93
120,0,0,188.74,5.55,0,36.08,8.92,37.43,40.28,45.52,9.96,0,3.83,16.2,9.6,0,0,21.57,1.51,416.35,4.56,0,45.15,298.54,10.58,19.45,15.75,0,0,122.51,0,1.12,1.22,0,11.17,1.37,5.53,10.29,0,0
