stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3.85,1.68,0,0,0.84,0,0,0,0,0,0,0,0,2.3,0,0,0,7.46,0,0,0,0,1.15,4.96,0,7.87,0,0,0.9,0,0
 24-34,0,1,1.95,10.88,0,0,7.29,0,0,0,0.63,0,0,0,1.23,5.63,0,0,2.92,71.77,0,0,0,0,0.76,0,0.73,17.43,0,0,3.99,0,0
 36-46,0,0,0.57,5.09,0,0,1.2,0,0,0,0,0,0,0,0,7.01,0,0,3.19,12.46,0,0,0,0,10.03,0,0,0.86,0,0,2.36,0,0
 48-58,0,0,3.8,21.67,0,0.83,3.1,0,0,0,0,0.72,0,0.39,4.3,22.81,0,0.37,1.96,20.12,0,0,0,0.56,0.91,0,0,9.56,0,0,0,0,1.41
 60-70,0,0,0,6.62,0,0.81,3.02,0,0,0,0,0,0,0,0,7.52,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.67,15.34,0.8,0.94,13.5,1.18,0,0,0.5,0,0,0,0,23.49,0,1.58,2.5,22.96,0,0.53,0.55,0.89,1.8,0,0,0.84,0,0.56,7.75,0,0
 84-94,0,0,0,1.64,0,0,6.35,0,0,0,0,0,0,0,0,8.36,0,0,0,2.49,0.66,0,0,0,0,0,0,0,0.62,0,0,1.36,0
 96-106,1.15,0,1.43,8.4,0.58,0,13.12,1.21,1.36,0.57,0,1.9,1.17,0,0,10.62,3.31,0,0,13.69,1.13,0.81,0,0,6.16,0,0,0,0.87,0,0,1.81,0
108-118,0,0,0,5.3,0,0.82,5.56,0,0,0,0.57,0,0.69,0,0,5.73,0,0,0,2.8,0.48,0.46,1.37,0,0,0,0,0,0,0,2.21,0,0
120,0,0,5.42,1.31,2.58,0,12.81,0,0,0,0,0,2.85,5.03,0,3.41,0,0,1.77,40.09,0,0,0,0,5.16,0,0,0,0,0,0,0,0
