stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,56.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,118.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,0,0,5.18,0,0,3.52,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,111.75,37.27,0,0,100.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.45,0,23.01,0,0,21.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.11,29.74,0,0,129.3,0,0,0,0,21.67,0,0,0,0,0,0,0,0
 14-21,0,0,8.32,1.66,16.74,18.4,5.63,0,0,0,94.28,0,0,0,0,0,0,0,0,0,15.84,3.12,250.97,6.32,5.56,58.15,16.12,0,0,2.17,4.75,121.33,1.01,5.07,386.61,0,0,1.35,0,3.56
 24-34,0,0,5.42,0.7,9.8,0,6.98,0,0.62,0.83,146.6,0,0,0,0,0,0,3.46,0,0,4.72,1.53,257.97,0,61.7,10.1,0,0,1.06,0,0,22.96,0,3.75,276.68,0,0,0,0,0
 36-46,0,0,7.62,0,0,0,6.66,0,0,0,68.89,1.1,0,0.93,0,0,0,0.77,0,0,7.72,0.63,180.02,0.57,49.47,4.38,0,0,0,0,0,7.4,0,0,212.18,0,0,0,0,0
 48-58,0,0,1.35,0.43,4.21,0,21.43,1.02,0,0.42,72.64,0,0,0.44,0,0,0,0.82,0,0.8,9.17,0.65,105.16,0,28.76,2.58,0,0,0,0,0,14.24,0,0,157.59,0,0,0,0,0
 60-70,0,0,3.11,0,0.71,0,39.37,0,0,0,36.76,0,0,0,0,0,0,1.49,0,0,5.9,0,84.82,0,31.8,11.3,0,3.93,0,0,0,1.27,0,0,51.92,0,0,0,0,0
 72-82,0,0,14.65,0,2.31,1.75,38.08,0,0,0,58.07,11.88,0,0,0,0,0,3.37,0,0,3.31,0.71,68.81,0,46.09,12.42,0,0,0,0,0,0.53,0,0,18.64,0,0,0,0,0
 84-94,0,0,18.35,2.79,2.31,0,24,0,0,0,61.84,20.85,0,0,0,0,1.86,4.19,0,0,11.35,0,33.94,0,43.98,23.48,0,0,0,0,0,3.43,0,0,25.17,0,0.68,0.78,0,0
 96-106,0,0,20.17,0,1.19,0,71.31,0,0,0,48.27,24.07,0,0,0,0,2.23,5.63,2.09,0,12.92,0,27.19,0,55.73,17.52,0,0,0,2.7,0,4.66,0,0,31.37,2.19,0,0,2.48,0
108-118,0,0,12.26,0,1.11,0,54.69,0,1.22,0,49.14,6.6,0,0,0.48,0,11.59,5.62,0,0,8.64,2.87,28.64,0.58,43.88,14.79,0,0,0,0,0,2.51,0,0,16.31,0,0,0,0,0
120,0,0,0,0,1.08,3.18,19.37,0,0,0,50.69,8.01,0,0,0,3.84,0,2.22,19.69,0,21.22,0,19.64,0,37.58,9.12,0,0,1.51,0,0,11.87,0,0,20.77,0,0,0,12.05,0
