stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.01,1273.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66,0,0,0,0,0,0,0,0,0,0
  5-6,62.96,275.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.91,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0
  7-9,19.39,6.37,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.47,11.64,0,0,28.85,0,0,17.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.02,0,0,0,7.3,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,25.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,1.1,68.76,5.71,0,0,0,0,0,0,0,0,0,11.84,0,0,0,0,3.06,2.36,0,0,1.06,32.22,13.28,0,2.81,1,0,17.95,1.12,2.6,1.91,2.24,44.07,0,0,9.49,0,0
 24-34,0,0,5.22,0,104.72,1.1,0,7.36,1.44,1.74,0.8,5.41,2.67,0,0,41.1,0,0,0.96,0,6.86,5.01,0.69,0,8.18,355.98,27.72,14,2.21,0,0,69.84,0,2.18,1.64,0.64,108.78,0,0,65.78,0,2.5
 36-46,0,0,0.73,0,66.86,0,0,18.27,2.39,18.48,0,2.77,0.74,0,0,21.66,0,0,1.45,1.5,1.24,6.7,0,0,1.45,960.32,49.87,15.32,18.04,0,0,70.47,0,2.62,0,0,217.61,0,0,67.22,0,0
 48-58,0,0,0,0,106.83,0,0,83.29,9.82,20.48,3.93,35.79,2.51,0,1.98,64.8,0,0,0.85,0.58,11.13,26.05,0,0,12.82,1553.12,69.66,19.16,13.34,0,0,25.37,0,6.61,0,0,292.19,0,0,41.57,0,1.45
 60-70,0,0,2.64,0,147.12,11,0,220.19,4.45,13,0.84,51.69,22.31,0,0,73.86,0,0,1.68,2.6,12.12,44.85,0.74,15.12,12.45,1970.47,44.38,12.48,18.85,0,2.21,34.61,0,0.93,0,0,364.25,0,0,26.24,0,5.49
 72-82,0,0,12.86,0,94.3,1.16,0,399.93,4.56,19.58,5.93,52.01,38.59,0.59,0,102.95,0.57,0,1.78,1.14,1.69,161.15,1.16,5.44,11.08,2073.98,26.41,25.15,29.37,0,3.06,9.3,0,1.59,1.05,0,233.55,5.42,0,37.52,1.1,9.51
 84-94,0,0,5.81,0,156.37,0,0,220.11,15.92,27.88,0,50.16,61.56,0,1,147.63,3.29,0,0.89,0,0.58,74.45,0,2.81,6.77,1201.33,71.28,17.63,22.48,0,0.57,28.02,0,1.93,0,0,144.57,4.5,0,51.35,10.91,0
 96-106,0,0,14.3,0.81,124.39,5.04,1.05,375.24,5.02,26.38,3.5,58.8,53.2,0,3.37,165.02,0.91,0,2.23,0,3.75,92.72,3.19,3.3,14.73,1192.61,34.12,29.91,29.81,0,0,21.53,0.7,1.45,0,0,77.69,3.97,0,43.79,4.26,0
108-118,0,0,13.44,1.22,188.63,0.42,0.78,255.36,5.08,51.69,0,81.89,59.95,0,3.23,146.63,1.96,2.17,0.5,0,0.82,126.14,0,15.05,7.37,1521.12,34.09,20.16,37.64,0,2.98,25.66,0.48,0,0,0,57.31,6.97,4.09,40.86,1.57,1.09
120,3.35,0,0,0,137.12,5.69,0,198.68,10.4,13.33,2.36,39.41,60.22,0,5.42,191.82,2.05,0,1.15,0,0,169.75,0,0,2.53,1727.11,61.01,13.55,26.25,0,5.21,13.44,0,0,0,0,30.47,10.09,2.71,45.69,7.18,0
