stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,153.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.03,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,35.92,0,25.03,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.44,6.3,0,0,208.25,0,0,0,0,23.85,0,0,0,0,0,0,0,0
 14-21,0,0,4.81,38.13,65.53,0,122.3,0,0,0,9.95,3.82,0,1.89,0.8,0.96,0,0,4.23,29.69,0,0,17.77,1166.99,5.14,3.12,6.84,4.23,0,14.75,5.93,58.14,0.81,1.74,57.5,148.49,0,0,8.08,0,1.25
 24-34,0.83,1.26,5.48,48.46,36.35,0,366.95,0,0,0,12.73,0.69,1.36,4.86,12.63,5.3,2.46,13.88,9.76,108.1,0.91,0,28.86,1797.94,0.83,6.26,26.34,0,0,21.05,0.98,0,0.76,0,21.32,209.53,0,0,26.06,0,12.26
 36-46,0,0,1.74,28.01,3.29,0,329.49,1.31,0,1.96,30.27,4.44,0,10.04,2.45,15.14,2.67,8.56,7.5,93.37,0,2.54,18.54,936.02,0.66,5.21,12.88,0,0,34.93,1.76,2.6,3.04,0,0,136.06,0,0,35.26,0,2.44
 48-58,0,0,0,19.37,2.21,0,316.05,2.17,3.82,5.42,68.77,9.63,2.31,1.7,0,10.47,1.91,11.93,1.22,106.85,2.29,3.9,32.05,494.12,0.55,2.13,3.37,0,0,4.85,0,0,1.72,1.48,0,77.65,0,0.49,6.58,0,13.7
 60-70,0,0.82,0,22.45,0,0,164.21,2.9,3.66,4.07,58.54,44.45,6.04,5.95,5.62,10.91,4.18,19.78,0,91.91,0,5.22,29.96,325.03,0,3.04,0.68,0,0,17.63,0,0,4.28,0,0,31.69,0,1,13.14,0,12.61
 72-82,0,0.75,0,14.56,6.28,1.16,104.38,2.73,0,8.94,60.99,77.73,4.91,15.92,0.52,3.67,3.26,7.31,0.49,127.84,1.57,2.41,25.18,233.21,0.55,11.37,11.6,0,1.08,3.15,0.56,0,6.62,0,0,5.87,1.68,1.25,14.16,2.09,12.92
 84-94,0,3.74,0,35.26,18.77,4.35,141.6,2.78,5.8,13.48,61.83,207.23,0,13.75,7.96,5.47,5.25,24.81,0.91,119.7,0,8.35,46.49,258.31,0.98,8.81,7.48,0,0,43.28,0,0,6.18,0,0,9.6,5.09,4.84,17.33,1.49,9.25
 96-106,0,1.68,0,22.36,13.91,4.4,112.13,0.71,0.62,14.56,68.9,212.14,4.67,12.12,1.69,2.43,5.7,15.3,0,146.19,2.78,3.42,36.59,221.38,1.25,6.54,11.87,0,0,67.5,0,0,3.22,0,0,11.24,0.67,5.55,21.25,9.41,1.5
108-118,0,0,0.96,55.33,20.08,10.16,151.64,0,6.25,5.19,108.9,222.37,0,30.51,4.69,12.24,3.95,11,0,138.75,3.48,6.12,47.62,297.54,1.18,4.29,6.52,0,8.72,41.38,0,0,3.52,1.83,0,1.5,4.27,3.1,27.98,5.36,3.95
120,0,0,0,63.18,22.63,7.17,126.81,0,25.77,14.42,81.45,87.56,0,13.68,2.02,2.12,4.15,31.26,2.87,201.34,3.22,15.02,42.12,259.57,4.58,3.68,24.06,0,11.71,49.79,0,0,4.28,1.21,0,0,1.84,0,22.06,12.48,2.78
