stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,38.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,27.44,3.92,4.16,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,0.87,0,0,0,1.87,0,3.13,0,0.91,0,1.75,11.01,0.92,0,0,0
 24-34,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0.63,0,23.13,0,0,0,0,11.57,0.82,0,3.82,0
 36-46,0,0,0,0,0.61,2.65,0.84,0,0,0,0,0,0,2.43,1.58,32.97,0,0,8.53,0.6,1.38,2.31,0,0,0
 48-58,0,0,0,0,4.26,2.64,1.52,0.66,0,0,0,0,0,1.77,1.79,17.15,0,0,0,0.38,0.55,1.54,0,0,0
 60-70,0,2.42,0,0,9.23,13.4,11.5,1.23,0,0,0,0,0,1.75,8.08,0.84,0,0,0,0.63,0,0,1.72,0,0
 72-82,0,0,0,0,3.33,21.99,0,0.66,1.28,0,0.6,0,0,3.74,6.14,5.23,0,0,0,0,0,0,0,0.73,0
 84-94,0,0,0,1.06,5.01,27.71,0,1.09,1.46,0,0,0.76,0,0,7.18,5.51,0.67,0,0,0,0,0,0,0,1.16
 96-106,0,0,5.69,0,0.79,32.04,0,6.2,1.92,0,0,1,0,3.71,7.07,13.57,0,0,0.7,0,0,0,0,0,0
108-118,0,0,0,0,3.18,19.01,0,0,20.89,0,0,0,0.61,1.05,12.57,4.94,0,0,0,0,0,0,0,0.5,0
120,0,1.33,0,0,1.79,44.05,0,0,11.93,0,6.03,0,0,0,33.86,32.16,0,0,0,0,0,0,0,0,0
