stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,185.6,0,0,0,0,0,0,18.14,0,0,0,0,0,41.59,0.85,26.21,0,0,0,0,39.41,0.82,0,0,0
 24-34,0,39.44,1.5,2.29,0.68,0,0,0,162.19,0,0.67,0,0,22.01,157.55,3.79,25.13,0,2.51,0,1.42,80.83,6.92,0,0,3.93
 36-46,0,5.24,3.93,10.08,0.64,0,0,0,110.97,0,12.33,0,0,26.91,177.6,1.69,27.61,0,1.79,0,0,3.58,1.87,0,0,0
 48-58,0,23.77,11.45,8.15,1.73,0,0,0,93.32,0,20.56,0,0,7.39,148.92,2.11,30.17,1.75,0,0,0,0,4.71,0,0,0
 60-70,0,5.57,3.66,5.41,0.64,0,0,0,63.25,0,32.1,1.02,0,4.96,85.25,0,36.46,1.5,0,0,2.9,0,0.67,0,0,0.76
 72-82,0,1.79,10.57,0.65,0.56,0,0,0,117.51,0,38.44,0,0,11.01,101.56,0,23.41,0.55,0,0,0,0,1.61,0,0,0
 84-94,0,5.79,19.36,0,6.44,0,0,0,133.48,0,24.5,0,0,13.39,90.72,1.39,35.98,1.51,0,0,0.61,0,0,1.31,1.38,0.91
 96-106,0.83,10.64,4.79,0,8.2,0,0,0.64,173.03,5.65,28.27,0,0,10.24,92.35,0,48.44,0.62,0,0,0,0,0,3.82,0,5.55
108-118,14.69,9.62,13.26,0,9.62,0,0,0.51,113.31,4.92,31.09,0,1.5,21.5,123.6,2.43,30.86,0,0,0,0,0,0,6.89,0,0
120,0,39.39,15.01,0,33.31,3.24,3.53,0,60.73,2.7,37.23,0,0,29.64,121.14,0,50.11,0,0,1.83,0,0,0,5.48,6.25,0
