stage,endocrine.pancreas,epidermis,eye,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,6.48,0,0,9.37,0,0,0,0
 14-21,0,0.91,0,0,0.92,0,0,2.13,2.54,0,0,0,2,0,7,0
 24-34,0,0,0,0,0,0,2.1,2.3,10.46,3.33,0,0,0.7,0.64,8.13,1.35
 36-46,0,0,0,0.66,0,0,1.52,0,9.08,14.46,0,0,0,0,4.53,0
 48-58,0,0,0,0,0,0,0.48,0.94,3.74,8.43,0.82,0,0,0,3.43,0
 60-70,0,0,0,0,0,0,0,0,4.68,14.02,0,0,0,0,0,0.85
 72-82,0,0,1.06,0,0,0,3,0,2.62,14.84,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,16.42,36.03,0,0,0.58,0,0,0
 96-106,0.9,0,0,0,0,0,2.81,0,0,26.06,0,0,0,0,0,0
108-118,0,0,0.48,0,0,0.64,0.7,0,0,20.67,0,0,0,0,0,0
120,0,0,0,0,2.21,0,0,0,17.92,26.5,0,0,0,0,0,0
