stage,axial,blastomeres,endoderm,eye,immune,mesenchyme,neural,olfactory,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.21,10.71,0,0,0,0,0,0,0,16.68,0,0,0,0
 10-12,0,0,3.27,0,0,0,6.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.07,0,5.5,0,0,0,9.4,0.84,0.87,0
 24-34,0,0,0,0.63,0,0,3.32,0.77,0,0,0,0,2.15,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0
 48-58,0,0,0,6.21,0,0.8,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.97,0.68,1.14,5.99,0,0,0,0,0,0,1.83
 84-94,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.57,3.34,0,0,2.93,0,0,0,0,0
108-118,0,0,0,0,4.86,1.73,0,0,0,0,0,0,0,0
