stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,6.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.02,0,0,11.07,0,0,0,0,8.51,0,0,0,0,0,0,161.55,0,0,0,30.94,0,0,0,0,0,0,0,0,0
 10-12,6.56,0,5.89,0,0,14.81,0,0,0,0,0,0,0,0,0,0,3.87,65.33,9.68,0,0,44.54,0,0,0,0,9.53,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,1.19,0,0,0,0,0,0,0,5.19,27.92,0.9,2.76,3.73,0,0,1.15,0,2.42,1.14,4.87,0,0,0
 24-34,0,0,0,0.64,0,5.91,0,0,0,0,0,2.52,0,0,0,1.44,0,28.15,0,4.49,0,0,0,1.66,0,0,0,4.81,0,2.14,0
 36-46,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,4.27,0.69,15.33,0,0,0,0,0,6.4,0.81,0,0,0.95,0,0,0
 48-58,0,0,0,2.61,0,9.36,0,0.42,1.58,0,0,0,0,0,0,2.11,0.91,17.86,0,0.44,0,0,0,0,0,0,0,1.69,0,4.62,1.45
 60-70,0,0,0,0,0,5.39,0,0,0.62,0,0,0,0,1.1,0,5.78,0,17.76,0,0,0,0,2.46,2.31,0,0,0,3.02,0,0,0
 72-82,0,0,0,1.94,0,7.74,0,0,4.06,0,0,0.55,0,0,0,13.95,1.65,14.06,0,0,0.76,0,0,4.08,0,0,2.57,1.41,0,2.66,0
 84-94,0,0,0,0,0,2.41,0,0,1.2,1.45,0,0,0,0,0,0,0,12.05,0,0.69,0,0,0,0,0,0,0,3.73,1.5,2.06,0
 96-106,0,0,0,0,0,0.84,0,0,3.59,0,0,0,3.98,0,0,7.42,0.9,20.39,0,0,0.62,0,0,0,0,0,0,0,0,0.71,0
108-118,0,0.41,0,0,0,14.4,0.43,0,1.13,0.47,0,0,0.55,0.45,1.24,2.23,0.57,14.31,0.59,0,0.86,0,0,0,0,0,0,0,0,1.15,0
120,0,0,0,1.16,1.84,0,0,0,9.11,0,0,0,0,0,0,8.39,0,5.31,0,0,0,0,0,0,0,0,0,0,0,10.91,0
