stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,60.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.96,111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.27,0,0,0,5.55,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,56.71,11.68,0,29.77,0,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,5.27,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.58,35.71,0,71.76,0,0,9.84,0,13.85,0,0,0,0,0,0,0
 14-21,0,0,0,2.72,3.24,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,5.01,27.77,1.61,0,0,0,0,0.91,3.11,0,0,1.79,11.9,0,0,0,0
 24-34,0,0,1.34,2.04,0,0,4.79,0,0,0,0.87,0,0,3.64,0.67,0,0,0,0,32.09,0,0,14.21,57.68,2.24,0,0,0,0,0,0,0,0.67,0,12.67,0,2.19,0,0
 36-46,0,0,0,0,0,0,4.08,0,5.9,2,17.34,0,0,3.51,0,0,1.76,0,1.31,23.51,0,1.12,11.36,58.19,2.55,0,0,0,0,0,0,1.24,6.65,0,24.36,0,0.69,0,8.81
 48-58,0,0,0,0,0,0,9.41,0,0.45,1.92,10.39,0.97,0,1.62,2.45,0,3.97,0,0.59,58.17,0,6.16,8.13,41.7,0,0,0,0,2.95,0,0,0,0,0,17.17,0,9.82,0,3.64
 60-70,0,0,0,0,0,0,18.69,1.02,0,5.9,16.59,0,0,6.72,2.9,0,2.17,0,0,79.19,2.04,4.36,2.55,37.12,0,0,0,0,0,0,0,0,0,0,18.7,0,10.92,0,0
 72-82,0,0,0,0.51,13.55,0,13.64,0,0,7,28.86,0,0,4.02,3.08,0,0,0,0,90.91,1.8,1.79,3.06,9.98,0,0,0,0,0,0,0,0,0,0,0,2.1,3.44,2.13,0
 84-94,0,0,0,0,2.88,0,11.83,0,0,4.76,22.59,0,0,0.82,2.83,0.76,0.57,0,0,97.72,0,1.06,4.02,24.22,9.93,2.03,0,0,0,0,0,0,0,0,0.63,6.08,6.82,4.87,0
 96-106,0,0,0,0,11.68,0,9.93,0,0,5.42,33.49,0,0,0.96,1.57,0,0,3.01,2.1,33.54,0,0.93,6.9,11.39,0.75,0,0,0,0.69,0,0,0,0,0,1.99,3.6,9.33,4.85,0
108-118,0,0,0,1.26,1.02,0,6.61,0.65,3.18,0.7,19.35,0,0,0,0.59,0,3.45,0.9,0.82,76.94,0,2.45,2.79,13.83,0,0,0,3.73,0,0,0,0,0,0,0,5.35,8.73,5.75,0
120,0,0,0,0,2.14,1.71,11.13,1.95,3.21,0,1.51,0,0,0,7.22,0,4.22,3.61,0,50.74,0,0,2.4,19.18,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0
