stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.52,0,1.74,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0.92,0,46.65,0,0,11.92,2.55,0,0,0,0,0,0,0.92,0,0,0,0,0,0
 24-34,0,0.75,4.09,3.58,0.87,0,3.64,0,0,6.38,1.42,2.89,0,27.9,0.74,0,0,2.65,0,180.27,0,0,74.18,28.48,0.87,0,0,0,0,0,0,2.43,0,0,33.88,0,0
 36-46,0,8.73,0,0,4.11,0,3.76,2.78,0,89.79,0,11.03,0,68.83,9.35,0,0,1.24,1.22,1769.73,0,0.71,487.3,101.57,3.23,2.12,0,0,1.58,0,0,14.81,0,0,15.57,3.88,0
 48-58,0,5.04,0,1.81,0,0,25.91,0,5.07,91.25,3.36,0,0,36.11,0,0,0,0,0,1202.8,0,4.95,136.18,106.29,1.28,0,0,0,0.46,0,0,4.03,0,3.65,33.97,0,1.28
 60-70,0.81,0,0,11.93,2.5,0,44.09,0.59,9.83,215.18,5.18,0,0,30.36,15.99,0,0.66,0,0,4289.71,0,16.86,186.15,106.15,0,2.03,0,7.69,6.21,0,0,3,0,35.37,103.82,17.67,6.91
 72-82,0,2.54,0,2.5,0,0,48.23,1.33,0.5,64.21,11.84,0.75,0,25.49,2.21,1.38,0,0,0,2109.53,0,10.93,115.41,112.76,0,0,1.21,6.18,2.38,0.63,0,3.83,0,51.04,268.82,33.61,0
 84-94,0,0,0,14.12,0,0,88.99,0,3.75,63.81,23.12,0,0,56.85,4.24,0,1.45,0.58,0,1585.08,0,7.59,71.72,61.32,0,0,0,7.09,0,2.8,0,0,0,64.12,111.26,39.84,0
 96-106,0,1.76,0,7.08,3.65,0.69,51.15,0,1,76.34,25.65,0,0,50.45,4.94,0,0,10.22,0,1964.68,0,15.87,82.77,165.25,3.49,0,0,82.35,6.89,5.38,0,0,0,100.68,234.71,28.8,0
108-118,3.02,0.54,0,11.4,9.95,0,52.64,0,1.29,76.46,5.58,0,0,24.77,4.75,0,0,0,0,2262.77,1.14,7.6,49.91,110.46,3.15,0,0,33.8,0.46,0,0,6.4,0.41,50.45,165.79,20.13,0
120,0,0,0,11.42,3.43,1.05,31.06,0,0,28.82,2.7,0,5.2,9.68,3.86,0,0,0,0,2144.08,0,38.03,32.02,51.48,0,0,0,51.27,0,0,0,1.57,0,84.4,279.74,23,6.17
