stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,4.98,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,0.84,0,0,1.9,0,1.23,0,0,0,1.58,112.81,0,0.95,0,0,0,1.22,47.3,0,0,0,0,0
 24-34,0.96,0,1.01,0,0,18.82,0,6.28,0,0.96,0,4.66,1085.73,0,9.6,0,2.25,0,0,375.01,0,0,2.57,0,0
 36-46,0,0,4.03,0,0,32.37,0,6.99,0,7.96,0,0.64,404.62,0,0,0,0.82,0,0,300.04,0,0,0,0,0
 48-58,0,0,0,0,0,4.65,0,3.25,0,5.46,0.4,5.84,41.32,0.88,0,0,0,0.65,0,52.16,0,0,0,0,0
 60-70,0,0,1.29,0,0,6.47,0,1.93,0,1.39,0,0,20.69,0,0,0,0,0,0,1.65,0,0,0,0,0
 72-82,0,0,0,4.07,0.76,3.06,0,5.32,0,3.51,0,0,14.18,0,0.75,0,1.95,0,0,0.85,0.53,0,1.6,0.58,0
 84-94,1.16,0,3.69,0,0,0.62,0,9.02,0.89,8.19,0,0,11.35,0,0,0,6.69,0,0,0,0,0,0,0,0
 96-106,0,0,5.63,0,0,1.26,0,28.88,0,17.75,0,0,10.09,0,0,0,0.73,0,0,0,0,0,0,0,0
108-118,0,0,9.73,0,0,0,0.42,8,0.51,0.6,0,0,7.18,0,0,0,0,0,0,1.42,0,1.77,0,0.57,0.59
120,0,0,28.78,0,0,0,0,3.21,0,0,0,0,29.65,0,0,0,1.77,0,0,0,0,0,0,0,0
