stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0
  7-9,7.42,0,4.93,0,0,11.33,0,0,0,4.63,0,0,0,0,0,0,58.22,0,0,0,19.73,0,0,0,0,0,0
 10-12,0,11.65,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,0,0,0,11.19,0,3.64,0,0,0,0
 14-21,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.62,0,0.66,0,0,0,0,0,0,0,0,0,0.81,14.72,0,0,1.71,0,5.89,0,0,0.74,5.16,15.05
 36-46,0,0,0,10.58,0,6.91,0,0,0,0,0,0,0,0,0,0,21.74,0,0.91,0,0,17.18,0,0,0,7.64,0
 48-58,0,0,0,6.44,0,0,0,3.44,0,0,9.04,0,0,0,0,0,21.88,0,0,0,0,0,0,0,0,4.78,0.4
 60-70,0,0,0,3,0,9.6,1.59,4.75,0,0,0,1.86,0,2.19,13.75,0,26.05,0,0,0,0,5.53,0,0.65,0,6.94,0
 72-82,0,0,0.56,0,0,0,0,0,1.01,0,0,0,0.75,0,3.13,0,11.11,0,0.54,0,0,2.52,0,0,0,6.52,0
 84-94,0,0,0,0,0,7.83,0,0,0.96,0,0.8,0,0,0,1.31,0.77,13.55,1.52,5.16,0,0,6.15,0,0,0,0,2.16
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0
108-118,0,0,0,1.13,0,0,0,0.78,0,0,2.7,0,0,0,1.28,0.57,3.51,0,1.19,0,0,0,0,0.53,0,0,2.64
120,0,0,0,0,2.35,0,0,0,0,0,0,0,1.77,0,0,0,7.77,0,0,0,0,1.6,0,0,0,0,0
