stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,50.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.81,0,0,3.94,0,0,3.68,0,0,0,0
 14-21,0,0,0,2.04,3.05,0,0,0,1.21,0,0,0,0.87,0,1.85,44.26,0,0,0.9,1.22,5,0,5.51,10.77,0,0
 24-34,0,0,0,0,9.96,0,0,0,0.82,0,0.94,0,5.02,0,3.15,75.41,0,0,0,1.72,0,0,0,7.61,3.19,0
 36-46,0,0,0,0,4.45,1.69,0,0.96,0.82,0,0,0,5.19,0,0,85.02,1.77,0,0,0.78,0,0,0,3.75,0,0
 48-58,0,0,7.38,0,7.1,0,1.82,0,10.82,0,0,0,4.38,0,2.26,23.84,0,0,0,0,0,0,0,5.72,0,0
 60-70,0,0,0,0,4.36,0,0,0,9.11,0,0,0,4.69,0,1.02,23.32,0,0,0,2.4,0,0,0,2.45,0,0
 72-82,0,0,1.84,0,11.57,0,0,0,4.51,1.19,0,1.2,5.96,0,1.34,22.33,0,0,0,0,0,0,0,0.92,0,0
 84-94,0,0,0,0,4.63,0,0,0,1.42,0,0,0,7.39,0.92,3.2,24.65,0,0,0,2.53,0,0,0,0,0,0
 96-106,0,0,0,0,4.28,0,0,0,0,0,0,0,7.93,2.43,0.72,9.84,2,0,0,0,0,0,0,0,3.56,0
108-118,0,0,0.44,0,4.26,0,0,0,1.02,0,0,0,2.81,0,1.23,27.34,4.03,0,0,0.63,0,0,0,0,0,1.24
120,0,0,1.68,0,5.95,0,0,0,5.82,0,0,0,0,0,0,30.02,0,4.8,0,4.57,0,0,0,0,0,0
