stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45,0,0,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,83.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,67.06,36.71,0,16.62,0,0.82,0,2.14,4.67,0,0,0,2.53,0,0.92,0,0,36.22,0,0,21.03,101.94,6.17,0,4.34,7.83,0,5.72,1.23,38.85,6.21,0.8,27.43,83.56,0,0,17.42,0,0
 24-34,0,0,0,31.7,0.66,0,4.49,0,3.87,0.83,6.37,1.87,0,0.76,3.66,3.07,0.7,0,0,1.09,27.72,0.88,0,13.84,52.44,1.35,0.68,0,0,0,24.42,0,0,5.7,0,1.98,15.2,0,0,67.23,0,0
 36-46,0,0,0,71.74,1.22,0,2.5,0,3.6,1.13,7.93,1.87,1.36,15.6,0.56,9.19,1.48,0,0,0,74.68,2.94,1.98,19.76,66.56,8.6,0,15.53,0,0,57.14,0,0,6.26,0,0,24.87,0,0.85,65.48,0,0
 48-58,0,0,0,19.9,0,0,3.82,0.57,15.61,4.14,9.35,0,5.99,6.53,18.52,0.46,0,0.43,0,0.56,47.79,1.44,0,6.8,34.1,2.95,0.44,4.3,0,0,21.21,0,0,0,0,0,12.31,0,0,22.84,0,1.54
 60-70,0,0,0,42.61,0.6,0,17.69,0,31.1,2.53,39.6,0,9.3,9.12,13.33,3.17,2.04,1.44,1.2,0,113.53,5.29,1.5,7.73,63.2,7.91,1.23,2.68,0,2.31,45.73,0,0,0,0,0,14.71,0,3.04,54.63,0.72,10.07
 72-82,0,0,1.12,34.95,5.83,0,15.54,0,13.14,2.89,43.59,1.32,0.5,2.6,14,2.49,1.24,3.49,0.62,0,184.55,5.61,11.09,13.36,44.36,3.83,0.5,0,0,1.06,40.8,0,0,0,0,0,0.63,0,2.01,66.52,2.67,9.45
 84-94,0,0,0,74.75,4.18,0,10.11,0,35.22,3.88,31.06,6.5,0,5.4,16.36,4.17,2.51,6.1,1.37,0,190.53,9.96,2.69,19.24,40.54,3.9,7.75,2.77,0,5.06,115.46,0,0,1.86,0,0,1.26,1.45,3.31,67.63,0.56,0
 96-106,0,2.96,0,156.84,5.43,0.97,15.07,0,40.04,7.71,42.12,10.29,0,14.16,23.73,13.83,7.7,8.87,0,0,290.44,10.01,12.88,16.29,83.57,4.41,7.77,0.75,0,0,159.93,0,0,5.38,0,0,0,0,16,62.14,13.95,14
108-118,0,0.97,0,216.08,5.23,0.99,15.62,0,86.86,9.41,64.55,27.77,0,11.88,14.38,13.64,18.45,9.73,3.7,2.72,473.04,2.97,13.97,44.45,73.69,8.2,7.98,3.96,0,15.03,104.78,0,0,5.1,0,0,0.63,3.35,17.27,74.17,11.56,8.31
120,0,0,0,182.2,0,0,11.34,1.61,64.06,12.62,44.69,24.37,0,20.3,15.51,7.41,23.61,2.39,10.52,3.89,259.62,1.13,8.5,12.83,54.69,1.29,3.6,3.15,0,20.72,119.6,2.5,0,1.16,0,0,2.98,9.33,7.37,135.77,9.1,1.64
