stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  3-4,17.22,193.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0
  5-6,29.49,511.04,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,16.73,16.26,0,0
  7-9,24.22,6.88,0,0,0,0,0,0,7.74,0,0,0,0,0,225.35,22.45,79.45,10.82,0,0
 10-12,0,5.93,0,12.89,0,5.97,3.23,0,0,0,0,0,0,0,145.59,0,45.91,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0
 24-34,0,0,0.9,0,0.7,0,1.89,0,0,0,0,2.13,0,0,0.85,0,0,1.64,2.36,0
 36-46,0,0,0,0,11.42,0,0,5.6,0,0,1.59,0,0,0.84,0,0,0,14.64,0,0
 48-58,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,1.87,0,0,2.23,0,0
 60-70,0,0,0,0,5.44,0,14.35,0,0,0,0,0,0,0,4.6,0,0,0.58,0,0
 72-82,0,0,0,0,0,0,1.68,0,0,0,0,0.84,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.87,0,4.82,0,0,0.75,0,0,0.84,0,1.07,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,1
108-118,0,0,0,0,0,0,0,0,0,0,0,1.11,0.98,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,1.4,0,0,0,0,0
