stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.66,59.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,5.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.07,0,0,0,3.55,0,0,0,0,0,0,0,0
 14-21,0,0,248.27,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,3.58,0,1.13,0,0,0,0
 24-34,0,0,361.1,2.69,2.28,6.45,0,2.2,0,0,0,0,0,0,1.6,1.58,1.46,21.78,0,0,1.96,0,0,8.68,0,1.38,0,0,0,0
 36-46,0,0,337.47,0,3.4,62.57,3.06,0,0,0,0.67,0,0,0,1.85,7.89,0,26.89,0,0,2.98,0,0,9.99,0,7.13,0,0,4.9,0
 48-58,0,0,209.66,0,11.1,40.36,0,0,0,3.47,0,0,0,0,2.2,0,0,13.88,0,0.79,0,0,0,0.98,0,13.85,0,0,1.99,0
 60-70,0,0,193.28,0,5.46,84.89,1.69,0,0,0,0,0,0,0,1.46,3.65,0.87,18.88,0.75,0,0,0,0,3.2,0,2.82,0,0,0,0
 72-82,0,0,89.57,0,0,39.39,0,0.84,0,0,2.05,0,8.35,0,2.21,0,0,20.91,0,1.39,0,0,2.01,0,0,0,0,0,1.04,0
 84-94,0.62,0,186.29,4.19,5.88,67.33,0,8.67,0,0,0,0,0,0,2.41,1.43,0,2.02,1.84,0,0,0,0,0,0,3.66,0,0,0,0
 96-106,0,0,229.91,0,5.12,91.66,0,1.82,0.61,0,3.67,0,0,1.73,1.89,2.95,0,5.05,0,0,0,0,0,0,0.84,0,0,0,1.01,0
108-118,0,0,150.15,0,5.37,92.68,0,1.21,1.27,0,2.39,0.56,0,0,1.49,5.21,0,12.12,0,0,0,0,0,0,0,1.66,1.26,3.58,0.49,0.91
120,0,0,183.46,0,2.21,79.26,0,2.7,0,0,1.11,0,0,1.69,9.04,5.12,1.58,4.34,2.8,0,0,0,0,0,0,0,0,0,0,0
