stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.44,472.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.6,816.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.73,0,0,0,0,0,20.44,0,0,0,0,0,0,0,0,0,0
  7-9,40.61,42,27.41,0,0,169.69,0,0,0,60.35,0,0,0,0,0,0,0,0,0,0,0,1230.26,65.76,0,0,381.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.61,58.16,0,0,49.5,0,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,1181.58,43.61,0,0,328.48,0,11.17,11.9,0,63.8,0,0,0,0,0,0,0
 14-21,0,0,2.53,21.95,12.16,12.57,0,3.01,3.79,0,5.27,0,1.93,0,0,0.97,0,26.49,0,0,23.79,158.37,1.95,0,0,5.58,0,13.05,0,38.31,0,1.02,46.68,52.26,0,5.2,0,0
 24-34,0,0,0,2.21,0.74,14.35,0,2.19,1.66,0,1.13,0,1.31,0,0,2.59,0,13.77,0,0,11.76,175.46,0,0,0,0,0,4.1,0,0,0,0,2.68,27.32,0,5.56,0,1.93
 36-46,0,0,0,1.72,0,28.15,0.67,5.96,0,0,0,0,0,0.56,0,0,0,20.25,0,0,4.62,133.33,0,0,0,0,0,8.41,0,0,0,1.04,0,38.19,0,0.87,0,1.45
 48-58,0,0,0,0,0,23.77,1.03,9.66,0,0,0,0,0,0.42,0,0,0,15.98,0,0,1.62,54.54,5.53,0,0,0,0,0,0,0,0,0,0,28.31,0,0,0,0.8
 60-70,0,0,0,5.09,0.58,3.15,0,9.54,0,0,0,0,0,0,0,0,0,12.56,0,0,0,33.36,0,0,0,0,0,1.85,0,0,0,0,0,5.46,0,0,0.81,5.08
 72-82,0,0,0,0.71,19.22,29.33,0,5.9,0,0,0,0,0,0,0,0,0,18.76,1.2,0.93,5.09,41.66,0,0.74,2,0,0,2.98,0,0,0,0,0,2.82,0,0,0,0
 84-94,0,0,0,0,3.16,26.28,0,2.71,0,0,0,2.05,0,0,0,0,0,18.09,0,0,1.19,37.03,0,0,4.06,0,0,0.79,0,0,0,0,0,2.74,1.21,0,0,0
 96-106,0,0,0,0,20.7,9,0.89,3.65,0,0,0,0.85,0,0,0.84,0,0,10.87,0,0,1.52,12.46,0,2.21,3.61,0,5.34,0.83,0,0,0,0,0,4.7,0,0,0,0
108-118,0,0,0,6.01,6.59,7.03,0,0,0,0,2.49,2.91,0,0,0.7,0,0,22.21,0,0,4.65,24.93,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0.65,1.8,0
120,0,0,0,5.74,8.68,29.78,0,0,0,0,11.8,1.43,0,0,0,0,1.79,0,0,0,0,25.3,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0
