stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,246.73,5205.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,408.19,7002.2,0,0,0,0,0,0,0,0,0,0,0,54.85,0,0,0,0,0,0,0,0,0,0,270.47,36.51,0,0,74.92,0,76.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,195.98,118.45,0,242.65,0,5.98,0,509.15,0,0,0,0,0,215.23,0,0,0,0,0,0,0,0,0,0,4611.32,105.37,0,0,1517.12,0,26.55,33.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,65,0,218.47,0,31.16,0,254.64,0,0,0,0,0,46.34,0,0,0,0,0,0,0,0,0,0,2650.18,12.99,0,0,940.94,0,6.87,41.13,4.43,144.21,0,4.89,16.56,0,0,0,0,0
 14-21,0,0,0,5.17,69.62,14.03,0,24.46,0,0,0,37.34,3.44,0.98,0,0,3.86,0,0,1.15,36.76,0,0,45.12,684.29,14.92,4.33,7.57,14.31,0,17.14,2.74,91.12,8.34,0.81,39.94,197.07,0,0,4.46,0,2.62
 24-34,0,0.83,0,2.97,23.91,7.48,0,245.99,0,1.75,0,33.42,0.84,0,1,3.03,5.44,3.79,2.22,0.76,151.9,0.87,3.95,56.1,1849.53,13.49,14.91,17.12,0,0,42.93,0,0,7.32,0,6.53,364.7,0,0,28.86,0,10.07
 36-46,0,0,0,0,30.14,5.08,0,574.08,0,2.41,0,66.46,0,0,0.73,3.02,0,1.81,0,0.89,118.22,0,0,18.29,1166.52,1.18,1.82,3.68,0,0,21.37,1.11,0,0.72,0.7,0,226.58,0,0,39.91,0,12.15
 48-58,0,0,0,0,29.22,11.86,0,797.46,0,2.16,1.19,75.37,3.21,0,2.21,3.21,6.06,5.64,1.93,3.77,135.73,6.76,9.33,19.68,887.36,0.39,2.99,11.59,0,0.61,12.37,0,0,2.5,0,0,96.92,0,0,10.01,0,13.83
 60-70,0,0,0,0,33.23,11.2,0,678.02,2.57,7.11,0,58.86,0,0,0,12.12,0,5.3,5.47,5.96,139.85,3.06,32.04,21.36,639.11,1.86,4.64,4.18,0,0,2.38,0,0,11.24,0,0,14.24,0.99,0.63,6.14,0,0
 72-82,0,0,0.56,0,22.41,0,0,180.2,0.55,0,1.73,25.87,0.49,0,0.5,0,0.7,0.72,1.21,1.61,92.8,0,8.54,8.51,234.11,0,2.22,0,0,1.41,3.83,0,0,0,0,0,10.94,0,0,10.82,0,0
 84-94,0,0,0,0,9.41,4.4,0.78,141.62,0,0,3,35.59,6.61,0,4.32,2.32,0,1.55,1.44,0.6,107.82,0,4.65,14.65,180.83,2.03,5.31,1.39,0,1.01,2.08,0,0,0,0,0,0.62,1.17,0,17.59,0,0
 96-106,0,0,0,0,10.58,0,0,67.13,0,0,0,23.27,4.12,0,0.62,1.42,0,0,1,0,33.66,0,2.37,6.14,113.34,0.86,0.69,1.36,0,0,3.59,0.7,0,0.67,0,0,4.16,2.19,0,10.4,0,0
108-118,0,0,0,0,3.55,3.3,0,109.61,0,0,0,23.95,1.85,0,1.49,3.61,1.68,0,0.51,4.7,49.26,0,2.39,14.92,194.45,1.55,0,3.23,0,0,5.67,1.18,0,2.76,0,0,0.57,1.01,0,21.19,0,0
120,0,0,0,1.28,6.92,10.29,0,249.04,0,0,0,130.11,0,0,1.54,8.54,0,0,0,4.16,83.11,0,7.59,16.41,501.3,0,6.31,3.1,0,0,3.77,0,0,0,0,0,10.07,0,0,14.72,4.52,0
